"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2019","7,117.41","7,123.29","7,130.00","7,109.47","312.45K","-0.04%"
"Sep 12, 2019","7,120.47","7,131.87","7,155.46","7,106.66","1.07M","0.07%"
"Sep 11, 2019","7,115.62","7,129.98","7,160.90","7,102.62","385.54K","-0.13%"
"Sep 10, 2019","7,124.86","7,153.63","7,153.63","7,117.85","427.87K","-0.34%"
"Sep 09, 2019","7,149.09","7,157.58","7,176.42","7,137.12","-","-0.07%"
"Sep 06, 2019","7,153.93","7,200.91","7,214.87","7,146.75","283.40K","-0.65%"
"Sep 05, 2019","7,200.78","7,217.12","7,235.28","7,176.77","189.71K","-0.16%"
"Sep 04, 2019","7,212.15","7,233.33","7,233.72","7,180.54","648.94K","-0.20%"
"Sep 03, 2019","7,226.70","7,225.96","7,241.20","7,222.93","201.58K","-0.11%"
"Sep 02, 2019","7,234.63","7,278.56","7,301.03","7,228.50","239.38K","-0.60%"
"Aug 30, 2019","7,278.43","7,255.46","7,289.48","7,254.92","377.80K","0.49%"
"Aug 29, 2019","7,242.63","7,217.24","7,251.76","7,210.87","314.57K","0.38%"
"Aug 28, 2019","7,214.95","7,176.07","7,230.01","7,175.70","358.50K","0.47%"
"Aug 27, 2019","7,181.14","7,189.73","7,199.67","7,173.62","710.29K","-0.12%"
"Aug 26, 2019","7,189.49","7,190.59","7,207.60","7,185.21","374.26K","-0.22%"
"Aug 23, 2019","7,205.61","7,187.53","7,214.93","7,181.21","278.81K","0.15%"
"Aug 22, 2019","7,194.58","7,166.39","7,194.58","7,149.46","335.72K","0.28%"
"Aug 21, 2019","7,174.75","7,173.10","7,187.86","7,165.44","217.54K","0.07%"
"Aug 20, 2019","7,169.38","7,173.43","7,178.74","7,152.49","242.07K","-0.04%"
"Aug 19, 2019","7,172.36","7,168.19","7,176.44","7,158.10","136.16K","0.06%"
"Aug 16, 2019","7,168.06","7,177.28","7,190.96","7,167.57","145.64K","-0.14%"
"Aug 15, 2019","7,177.83","7,185.07","7,185.07","7,165.83","140.55K","-0.06%"
"Aug 14, 2019","7,182.25","7,191.60","7,192.37","7,164.16","159.68K","-0.13%"
"Aug 09, 2019","7,191.60","7,192.36","7,199.24","7,179.70","246.98K","0.01%"
"Aug 08, 2019","7,191.15","7,205.24","7,216.42","7,181.42","260.69K","-0.18%"
"Aug 07, 2019","7,203.84","7,180.12","7,213.87","7,180.12","327.59K","0.28%"
"Aug 06, 2019","7,183.71","7,178.17","7,193.68","7,163.74","229.79K","0.06%"
"Aug 05, 2019","7,179.27","7,189.31","7,199.19","7,169.85","291.40K","0.12%"
"Aug 02, 2019","7,170.47","7,157.92","7,187.40","7,152.02","279.29K","-0.10%"
"Aug 01, 2019","7,177.85","7,143.28","7,177.85","7,122.34","292.67K","0.19%"
"Jul 31, 2019","7,163.97","7,159.89","7,181.93","7,148.92","336.09K","0.20%"
"Jul 30, 2019","7,149.70","7,168.43","7,168.86","7,135.57","326.59K","-0.20%"
"Jul 29, 2019","7,164.33","7,181.21","7,186.40","7,141.21","296.87K","-0.05%"
"Jul 26, 2019","7,167.63","7,164.13","7,174.14","7,156.68","146.03K","0.10%"
"Jul 24, 2019","7,160.77","7,160.73","7,165.30","7,145.58","259.75K","-0.04%"
"Jul 23, 2019","7,163.61","7,196.96","7,204.17","7,163.58","302.07K","-0.47%"
"Jul 22, 2019","7,197.19","7,204.86","7,206.64","7,182.15","330.56K","-0.06%"
"Jul 19, 2019","7,201.31","7,247.65","7,252.45","7,200.93","393.95K","-0.69%"
"Jul 18, 2019","7,251.20","7,266.42","7,275.30","7,235.38","222.83K","-0.15%"
"Jul 17, 2019","7,262.04","7,285.71","7,292.74","7,258.05","789.99K","-0.23%"
"Jul 16, 2019","7,278.89","7,263.46","7,278.89","7,246.42","518.10K","0.22%"
"Jul 15, 2019","7,262.99","7,247.91","7,262.99","7,236.46","295.19K","0.12%"
"Jul 12, 2019","7,254.36","7,234.64","7,261.75","7,227.61","482.62K","0.26%"
"Jul 11, 2019","7,235.60","7,253.57","7,253.57","7,210.41","397.35K","-0.10%"
"Jul 10, 2019","7,242.96","7,229.53","7,242.96","7,206.64","417.87K","0.18%"
"Jul 09, 2019","7,230.01","7,234.39","7,246.82","7,229.73","432.80K","-0.04%"
"Jul 08, 2019","7,233.03","7,224.50","7,273.86","7,224.50","446.16K","0.22%"
"Jul 05, 2019","7,217.43","7,203.98","7,220.11","7,188.58","558.29K","0.33%"
"Jul 04, 2019","7,193.85","7,196.92","7,215.80","7,189.61","421.19K","0.05%"
"Jul 03, 2019","7,189.95","7,165.72","7,201.06","7,165.72","501.47K","0.38%"
"Jul 02, 2019","7,163.01","7,177.94","7,180.90","7,137.89","312.20K","-0.20%"
"Jul 01, 2019","7,177.48","7,149.78","7,188.70","7,149.70","191.33K","0.40%"
"Jun 28, 2019","7,149.00","7,092.98","7,149.00","7,092.98","291.88K","1.18%"
"Jun 27, 2019","7,065.51","7,163.02","7,184.99","7,062.08","1.01M","-1.35%"
"Jun 26, 2019","7,162.21","7,153.25","7,162.33","7,144.45","575.23K","0.20%"
"Jun 25, 2019","7,148.18","7,134.26","7,159.77","7,125.89","498.65K","0.35%"
"Jun 24, 2019","7,123.28","7,106.20","7,130.46","7,106.20","409.93K","0.29%"
"Jun 21, 2019","7,102.52","7,107.30","7,119.26","7,079.14","577.52K","-0.02%"
"Jun 20, 2019","7,103.68","7,100.45","7,109.60","7,093.15","497.64K","0.02%"
"Jun 19, 2019","7,102.17","7,085.93","7,103.87","7,070.08","532.72K","0.30%"
"Jun 18, 2019","7,080.88","7,085.43","7,100.66","7,072.13","618.45K","-0.01%"
"Jun 17, 2019","7,081.56","7,087.29","7,094.28","7,073.71","379.38K","0.07%"
"Jun 14, 2019","7,076.61","7,080.43","7,098.81","7,057.01","725.14K","-0.18%"
"Jun 13, 2019","7,089.11","7,070.70","7,093.03","7,058.84","691.84K","0.21%"
"Jun 12, 2019","7,074.49","7,043.60","7,079.28","7,019.29","697.09K","0.74%"
"Jun 11, 2019","7,022.56","7,080.07","7,080.07","6,991.22","505.40K","-0.70%"
"Jun 10, 2019","7,071.89","7,082.69","7,082.69","7,052.57","662.07K","-0.13%"
"Jun 07, 2019","7,081.27","7,059.13","7,081.57","7,041.37","147.59K","0.40%"
"Jun 03, 2019","7,052.80","7,062.01","7,062.01","7,037.55","249.38K","0.17%"
"May 31, 2019","7,040.96","7,035.25","7,043.87","7,022.58","335.55K","0.08%"
"May 30, 2019","7,035.16","7,030.23","7,045.27","7,014.76","366.73K","0.28%"
"May 29, 2019","7,015.75","6,969.49","7,024.60","6,966.82","241.35K","0.64%"
"May 28, 2019","6,970.93","6,964.29","6,993.17","6,957.02","525.78K","0.12%"
"May 27, 2019","6,962.23","6,960.50","6,992.81","6,939.35","247.74K","0.08%"
"May 24, 2019","6,956.91","6,932.68","6,956.92","6,903.07","446.96K","0.42%"
"May 23, 2019","6,928.09","6,919.34","6,928.09","6,903.66","291.29K","0.18%"
"May 22, 2019","6,915.46","6,916.31","6,933.43","6,903.66","258.16K","0.06%"
"May 21, 2019","6,911.43","6,937.48","6,939.85","6,904.62","271.04K","-0.38%"
"May 20, 2019","6,937.48","6,991.03","6,991.03","6,924.42","229.12K","-0.36%"
"May 17, 2019","6,962.54","6,944.80","6,970.08","6,936.06","233.45K","0.26%"
"May 16, 2019","6,944.35","6,913.30","6,944.35","6,887.47","384.71K","0.41%"
"May 15, 2019","6,916.12","6,930.12","6,934.54","6,896.92","323.91K","-0.05%"
"May 14, 2019","6,919.82","6,936.14","6,944.34","6,908.52","388.13K","-0.26%"
"May 13, 2019","6,938.11","6,950.43","6,950.43","6,915.13","283.15K","0.29%"
"May 10, 2019","6,917.78","6,935.92","6,945.70","6,901.64","308.67K","0.14%"
"May 09, 2019","6,907.82","6,877.06","6,907.82","6,874.71","315.38K","0.37%"
"May 08, 2019","6,882.55","6,915.37","6,920.44","6,881.92","380.07K","-0.04%"
"May 07, 2019","6,885.24","6,881.56","6,892.79","6,872.25","328.91K","0.04%"
"May 06, 2019","6,882.74","6,878.93","6,911.92","6,876.01","198.38K","0.38%"
"May 03, 2019","6,857.02","6,894.45","6,894.45","6,840.96","263.44K","-0.44%"
"May 02, 2019","6,887.21","6,878.10","6,889.01","6,856.25","229.53K","0.03%"
"Apr 30, 2019","6,885.12","6,881.98","6,905.99","6,871.97","291.91K","-0.11%"
"Apr 29, 2019","6,892.52","6,934.03","6,941.07","6,882.40","282.54K","-0.52%"
"Apr 26, 2019","6,928.27","6,959.04","6,959.04","6,882.82","378.17K","-0.23%"
"Apr 25, 2019","6,944.33","6,940.70","6,964.69","6,908.05","468.18K","0.03%"
"Apr 24, 2019","6,942.07","6,951.60","6,964.81","6,923.85","779.35K","-0.12%"
"Apr 23, 2019","6,950.37","6,965.32","6,984.50","6,931.65","505.88K","-0.15%"
"Apr 22, 2019","6,960.48","6,937.61","6,968.96","6,933.53","521.51K","0.22%"
"Apr 19, 2019","6,945.24","6,944.89","6,967.97","6,933.26","437.23K","0.04%"
"Apr 18, 2019","6,942.17","6,950.45","6,972.25","6,895.06","586.19K","-0.01%"
"Apr 17, 2019","6,942.86","6,958.71","6,958.87","6,912.59","603.13K","0.01%"
"Apr 16, 2019","6,942.07","6,942.73","6,945.35","6,922.68","701.05K","-0.09%"
