,Unnamed: 0,IPI,MTT,Import,Export,BalCom,Pib1,Pib2,ref,ouverture,cloture,ref.1,ouverture.1,cloture.1,ref.2,ouverture.2,cloture.2,ref.3,ouverture.3,cloture.3,ref.4,ouverture.4,cloture.4,ref.5,ouverture.5,cloture.5,ref.6,ouverture.6,cloture.6,ref.7,ouverture.7,cloture.7,ref.8,ouverture.8,cloture.8,ref.9,ouverture.9,cloture.9,ref.10,ouverture.10,cloture.10,ref.11,ouverture.11,cloture.11,ref.12,ouverture.12,cloture.12,ref.13,ouverture.13,cloture.13,ref.14,ouverture.14,cloture.14,ref.15,ouverture.15,cloture.15,ref.16,ouverture.16,cloture.16,ref.17,ouverture.17,cloture.17,ref.18,ouverture.18,cloture.18,ref.19,ouverture.19,cloture.19,ref.20,ouverture.20,cloture.20,ref.21,ouverture.21,cloture.21,ref.22,ouverture.22,cloture.22,TIL,ref.23,ouverture.23,cloture.23,ref.24,ouverture.24,cloture.24,Delice,ouverture.25,cloture.25,ref.26,ouverture.26,cloture.26,ref.27,ouverture.27,cloture.27,ref.28,ouverture.28,cloture.28,ref.29,ouverture.29,cloture.29,ref.30,ouverture.30,cloture.30,ref.31,ouverture.31,cloture.31,ref.32,ouverture.32,cloture.32,ref.33,ouverture.33,cloture.33,ref.34,ouverture.34,cloture.34,ref.35,ouverture.35,cloture.35,ref.36,ouverture.36,cloture.36,ref.37,ouverture.37,cloture.37,ref.38,ouverture.38,cloture.38,ref.39,ouverture.39,cloture.39,ref.40,ouverture.40,cloture.40,ref.41,ouverture.41,cloture.41,ref.42,ouverture.42,cloture.42,Price,Open,High,Low,Vol.,Change %
86,2018-03-28,92.6,6.04,3569.9,5009.6,-1220.8,1694.2,18158.6,17500,17920,18200,2190,2150,2200,3490,3490,3540,3000,3020,3080,14800,14800,14700,2190,2250,2250,32000,31980,31980,11500,11400,11400,14450,14550,14400,8880,8940,8830,10500,10490,10390,8230,8220,8250,7970,7970,7970,7380,7350,7350,620,630,630,3870,3870,3880,5730,5730,5700,3650,3690,3690,6780,6770,6780,2300,2340,2300,1500,1480,1500,14300,14280,14300,2350,2350,2300,,18010,18100,18160,2040,2040,2030,2740,2790,2780,78000,79500,79000,10300,10290,10290,3100,3100,3100,17280,17280,17280,38480,38000,38430,26300,26290,26250,4610,4570,4510,27290,27300,27210,13160,13160,13190,3950,3980,3990,9860,9870,9900,15900,15700,15790,21250,21390,21400,149000,149000,148980,49020,49020,49100,430,420,430,23500,23500,23500,7094.7,7095.27,7099.27,7080.3,499860,0.14
87,2018-03-29,92.6,6.04,3569.9,5009.6,-1220.8,1694.2,18158.6,18200,18200,18180,2200,2200,2190,3540,3530,3530,3080,3030,3200,14700,14700,14350,2250,2310,2330,31980,31750,31550,11400,11400,11400,14400,14400,14300,8830,8830,8700,10390,10400,10250,8250,8240,8220,7970,7970,8000,7350,7280,7300,630,620,630,3880,3800,3860,5700,5750,5770,3690,3680,3670,6780,6770,6780,2300,2340,2300,1500,1450,1500,14300,14490,14490,2300,2300,2300,,18160,18290,18290,2030,2040,2030,2780,2730,2760,79000,79000,80500,10290,10290,10100,3100,3100,3100,17280,17280,17280,38430,38430,38430,26250,26250,25950,4510,4520,4490,27210,27210,27000,13190,13190,13000,3990,3900,3970,9900,9900,10120,15790,15700,15980,21400,21570,21400,148980,148970,149000,49100,49300,50300,430,440,430,23500,23500,23600,7111.07,7089.68,7130.31,7087.04,562090,0.23
88,2018-03-30,92.6,6.04,3569.9,5009.6,-1220.8,1694.2,18158.6,18180,18200,18000,2190,2140,2180,3530,3490,3500,3200,3220,3290,14350,14350,14450,2330,2350,2350,31550,31500,31500,11400,11650,11650,14300,14060,14300,8700,8700,8780,10250,10350,10300,8220,8220,8220,8000,8000,8000,7300,7280,7290,630,620,620,3860,3860,3890,5770,5810,5780,3670,3680,3680,6780,6780,6700,2300,2340,2300,1500,1460,1500,14490,14300,14070,2300,2300,2300,,18290,18290,18290,2030,2040,2040,2760,2710,2760,80500,80000,80000,10100,10100,10100,3100,3150,3230,17280,17280,17280,38430,38430,38430,25950,25990,26220,4490,4450,4500,27000,27000,27190,13000,13000,13000,3970,3980,3990,10120,10120,10300,15980,15690,15950,21400,21500,21700,149000,150000,150000,50300,50300,49960,430,420,430,23600,23600,23580,7142.65,7110.94,7159.07,7110.94,816430,0.44
91,2018-04-02,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,18000,18180,18180,2180,2140,2190,3500,3490,3500,3290,3280,3200,14450,14750,14700,2350,2420,2350,31500,31500,31400,11650,11600,11650,14300,14300,14320,8780,8800,8700,10300,10400,10300,8220,8210,8210,8000,8000,8000,7290,7300,7350,620,610,610,3890,3900,3900,5780,5700,5730,3680,3680,3680,6700,6900,6900,2300,2340,2300,1500,1480,1460,14070,14250,14300,2300,2250,2240,,18290,18290,18290,2040,2000,2030,2760,2690,2700,80000,80000,81700,10100,10250,10100,3230,3260,3250,17280,17200,17200,38430,38430,38430,26220,26150,26200,4500,4500,4530,27190,27590,27500,13000,13000,13000,3990,3990,3930,10300,10380,10350,15950,15850,15850,21700,22000,22490,150000,145630,149600,49960,49950,50400,430,420,430,23580,23580,23680,7161.36,7135.75,7180.64,7135.4,782280,0.26
92,2018-04-03,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,18180,18000,18000,2190,2180,2190,3500,3500,3500,3200,3240,3110,14700,14650,14750,2350,2340,2340,31400,31990,31500,11650,11900,11700,14320,14400,14390,8700,8790,8960,10300,10300,10300,8210,8200,8200,8000,8000,8000,7350,7350,7300,610,610,620,3900,3900,3900,5730,5750,5780,3680,3620,3670,6900,7100,7100,2300,2340,2300,1460,1500,1490,14300,14300,14300,2240,2240,2300,,18290,18320,18680,2030,2040,2000,2700,2680,2630,81700,81500,80000,10100,10100,10100,3250,3300,3340,17200,17200,17200,38430,38430,38430,26200,26220,26500,4530,4500,4490,27500,27450,27450,13000,13000,13390,3930,3930,3900,10350,10350,10370,15850,15450,15740,22490,22550,22450,149600,149500,149500,50400,50060,51300,430,430,430,23680,23600,23600,7181.99,7161.73,7185.11,7148.36,657370,0.29
93,2018-04-04,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,18000,18000,18000,2190,2140,2190,3500,3480,3500,3110,3190,3190,14750,14600,14750,2270,2250,2250,31500,31980,31400,11700,11400,11650,14390,14300,14250,8960,8960,8810,10300,10300,10300,8200,8110,8200,8000,8000,8000,7300,7270,7350,620,620,620,3900,3950,3920,5780,5780,5700,3670,3630,3670,7100,7090,7100,2300,2340,2300,1490,1490,1480,14300,14490,14470,2300,2310,2300,,18680,18300,18210,2000,2040,2040,2630,2630,2740,80000,80500,80500,10100,10300,10490,3340,3340,3410,17200,17000,17000,38430,37400,38000,26500,26700,26500,4490,4450,4400,27450,27440,27390,13390,13300,13300,3900,3940,3900,10370,10390,10390,15740,15400,15500,22450,22450,22200,149500,149500,149300,51300,51010,50020,430,440,430,23600,23600,23600,7168.9,7184.72,7192.58,7116.76,410340,-0.18
94,2018-04-05,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,18000,18000,17990,2190,2140,2190,3500,3450,3600,3190,3200,3160,14750,14750,14600,2250,2300,2240,31400,31400,31000,11650,11650,11650,14250,14250,14350,8810,8820,8710,10300,10290,10280,8200,8190,8180,8000,7990,8000,7350,7350,7250,620,610,610,3920,3920,3900,5700,5710,5860,3670,3630,3670,7100,7130,7140,2300,2340,2300,1480,1480,1480,14470,14300,14400,2300,2340,2340,,18210,18120,18490,2040,2030,2030,2740,2660,2700,80500,80000,81990,10490,10300,10400,3410,3430,3410,17000,17200,17200,38000,37400,38000,26500,26690,26660,4400,4500,4440,27390,27380,27000,13300,13100,13350,3900,3900,4000,10390,10390,10380,15500,15700,15620,22200,22300,22000,149300,149300,149500,50020,51400,50890,430,440,430,23600,23590,23670,7183.58,7184.82,7195.16,7165.57,837630,0.2
95,2018-04-06,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17990,17950,17900,2190,2130,2130,3600,3690,3690,3160,3180,3120,14600,14500,14700,2240,2280,2270,31000,31000,30950,11650,11650,11650,14350,14390,14400,8710,8720,8790,10280,10290,10250,8180,8100,8200,8000,8000,8000,7250,7350,7340,610,600,610,3900,3850,3920,5860,5800,5800,3670,3630,3670,7140,7100,7300,2300,2340,2300,1480,1450,1480,14400,14390,14390,2340,2350,2350,,18750,19190,19090,2030,2030,2030,2700,2650,2660,81990,81990,81990,10400,10490,10100,3410,3410,3410,17200,17100,17150,38000,37400,38000,26660,26660,26310,4440,4450,4440,27000,27100,27100,13350,13300,13300,4000,4020,4130,10380,10370,10370,15620,15160,15700,22000,21900,21600,149500,149450,147000,50890,50800,49650,430,430,430,23670,23670,23460,7140.61,7177.95,7179.73,7138.63,480700,-0.6
99,2018-04-10,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17900,18000,17800,2130,2130,2100,3690,3580,3580,3120,3120,3110,14700,14700,14260,2270,2170,2270,30950,31580,30950,11650,11650,11640,14400,14400,14160,8790,8790,8540,10250,10310,10250,8200,8100,8190,8000,7990,7990,7340,7210,7200,610,610,620,3920,3920,3900,5800,5850,5720,3670,3630,3620,7300,7100,7300,2300,2340,2300,1480,1440,1440,14390,14390,14390,2350,2300,2300,,19090,19190,19090,2030,2020,2030,2660,2650,2610,81990,81990,81990,10100,10100,10390,3410,3400,3400,17150,17000,17000,38000,37110,37100,26310,26600,25830,4440,4400,4360,27100,27030,27000,13300,13350,13100,4130,4160,4100,10370,10370,10370,15700,15640,15630,21600,21600,20990,147000,146200,142010,49650,47420,46630,430,420,450,23460,23470,23000,7030.93,7142.95,7143.44,7011.64,438370,-1.54
100,2018-04-11,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17800,17950,17900,2100,2180,2160,3580,3580,3660,3110,3110,3100,14260,14210,14250,2270,2210,2210,30950,31370,30430,11640,11650,11650,14160,14160,14400,8540,8500,8430,10250,10310,10250,8190,8190,8180,7990,7990,7990,7200,7200,7100,620,610,620,3900,3850,3820,5720,5820,5790,3620,3670,3670,7300,7230,7240,2300,2340,2300,1440,1440,1480,14390,14390,14390,2300,2250,2320,,19090,18500,18500,2030,2040,2050,2610,2650,2650,81990,81900,83500,10390,10400,10380,3400,3420,3400,17000,17200,17200,37100,38000,38000,25830,26130,25900,4360,4400,4400,27000,27000,27000,13100,13200,13100,4100,4150,4050,10370,10300,10250,15630,15590,15990,20990,20900,20700,142010,141000,142350,46630,44540,45490,450,470,470,23000,23000,23000,7011.95,7030.35,7049.71,6953.98,520480,-0.27
101,2018-04-12,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17900,17950,17900,2160,2180,2160,3660,3560,3660,3100,3100,3100,14250,14300,14800,2210,2190,2080,30430,31000,30400,11650,11650,11650,14400,14400,14390,8430,8400,8590,10250,10200,10200,8180,8020,8180,7990,7850,7990,7100,7100,7190,620,620,640,3820,3830,3890,5790,5750,5790,3670,3670,3670,7240,7210,7220,2300,2340,2300,1480,1470,1480,14390,14200,14390,2320,2250,2320,,18500,18500,18500,2050,2010,2050,2650,2600,2600,83500,82990,86000,10380,10380,10350,3400,3400,3400,17200,17200,17200,38000,38000,38000,25900,25890,26000,4400,4400,4400,27000,27000,27000,13100,13100,13200,4050,4000,3970,10250,10250,10300,15990,15800,15990,20700,20700,21290,142350,140000,142600,45490,45000,45810,470,470,470,23000,23300,23600,7067.88,6996.15,7069.06,6996.15,267850,0.8
102,2018-04-13,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17900,17900,18000,2160,2100,2100,3660,3500,3640,3100,3100,3190,14800,14750,14550,2080,1990,2140,30400,30970,30290,11650,11640,11310,14390,14400,14390,8590,8590,8920,10200,10250,10000,8180,8200,8190,7990,7850,7990,7190,7190,7100,640,650,670,3890,3910,3890,5790,5860,5810,3670,3670,3670,7220,7190,7200,2300,2340,2300,1480,1470,1480,14390,14400,14500,2320,2320,2330,,18500,18520,18520,2050,2000,2020,2600,2650,2650,86000,84510,88310,10350,10100,10320,3400,3360,3400,17200,17000,17000,38000,38000,38000,26000,25750,26750,4400,4400,4400,27000,27000,27000,13200,13300,13590,3970,3970,3970,10300,10300,10350,15990,15520,15980,21290,21290,21700,142600,143000,146400,45810,46000,48000,490,510,510,23600,23600,23500,7128.54,7071.08,7128.59,7055.69,653050,0.86
105,2018-04-16,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,18000,17950,17950,2100,2100,2040,3640,3540,3620,3190,3240,3300,14550,14400,14250,2140,2080,2130,30290,30280,30000,11310,11310,11310,14390,14400,14300,8920,8920,8730,10000,10000,10100,8190,8190,8200,7990,7850,7990,7100,7100,7090,670,650,670,3890,3900,3900,5810,5820,5800,3670,3670,3670,7200,7200,7200,2300,2340,2300,1480,1470,1480,14500,14500,14100,2330,2300,2300,,18520,18410,18520,2020,2000,2020,2650,2650,2720,88310,88320,93680,10320,10320,10290,3400,3300,3400,17000,17200,17200,38000,36860,36860,26750,26750,26950,4400,4400,4400,27000,27100,27500,13590,13800,13590,3970,3990,3940,10350,10310,10370,15980,15600,16080,21700,21680,21300,146400,147000,146500,48000,47990,47680,510,510,510,23500,23500,23600,7128.82,7127.87,7141.72,7110.95,494260,0
106,2018-04-17,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17950,17950,17950,2040,2020,2020,3620,3600,3630,3300,3280,3280,14250,14500,14080,2130,2120,2120,30000,29600,29500,11310,11300,11300,14300,14380,14350,8730,8730,8800,10100,10200,10100,8200,8190,8200,7990,7850,7990,7090,7060,7010,700,730,670,3900,3880,3900,5800,5790,5750,3670,3640,3670,7200,7190,7190,2300,2340,2300,1480,1470,1480,14100,14120,14120,2300,2320,2320,,18520,18460,18520,2020,2020,2030,2720,2720,2790,93680,96490,99380,10290,10060,10190,3400,3400,3370,17200,17200,17200,36860,36100,36850,26950,27400,26700,4400,4400,4300,27500,27500,27690,13590,13650,13900,3940,3880,3940,10370,10370,10370,16080,16000,16070,21300,21300,21250,146500,147990,144000,47680,47870,47190,530,550,560,23600,23600,23500,7094.96,7145.71,7145.71,7088.71,1160000,-0.47
107,2018-04-18,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17950,17950,17940,2020,2020,2000,3630,3620,3630,3280,3260,3290,14080,14280,14300,2120,2080,2030,29500,29490,28970,11300,11310,11600,14350,14360,14350,8800,8800,8970,10100,10100,10000,8200,8190,8180,7990,7770,7990,7010,7010,6800,670,690,710,3900,3900,3890,5750,5750,5790,3670,3600,3600,7190,7090,7090,2300,2340,2300,1480,1470,1480,14120,14400,14470,2320,2270,2270,,18520,18750,18600,2030,2000,1980,2790,2840,2750,99380,102360,105010,10190,10150,10200,3370,3400,3400,17200,17200,17200,36850,36850,36850,26700,26950,26600,4300,4300,4300,27690,27850,27740,13900,14000,14000,3940,3990,4170,10370,10370,10370,16070,16000,16070,21250,21290,21380,144000,145000,146200,47190,47200,47490,560,550,560,23500,23500,24000,7147.09,7108.1,7152.37,7108.1,668160,0.73
108,2018-04-19,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17940,17890,17890,2000,2050,2000,3630,3600,3630,3290,3270,3290,14300,14280,14120,2030,2090,2120,28970,29830,28940,11600,11600,11600,14350,14310,14400,8970,9000,9000,10000,9990,10000,8180,8190,8200,7990,7990,7990,6800,6800,6700,710,720,740,3890,3900,3930,5790,5820,5710,3600,3530,3600,7090,7140,7150,2300,2340,2300,1480,1460,1480,14470,14470,14900,2270,2320,2250,,18600,18600,18600,1980,2030,2040,2750,2830,2800,105430,108590,111850,10200,10250,10200,3400,3400,3400,17200,17200,17200,36850,36850,36850,26600,26700,26580,4300,4180,4100,27740,28000,27740,14000,14000,14100,4170,4220,4400,10370,10400,10390,16070,16000,16000,21380,21380,21000,146200,146200,145200,47490,47300,46450,580,550,560,24000,23880,23990,7132.92,7153.15,7153.15,7120.17,559020,-0.2
109,2018-04-20,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17890,17900,17890,2000,2040,1990,3630,3620,3640,3290,3220,3280,14120,14200,14550,2120,2090,2120,28940,28940,28080,11600,11600,11500,14400,14320,14380,9000,8940,8950,10000,10000,9800,8200,8200,8210,7990,7990,7800,6700,6700,6750,750,780,780,3930,3950,3920,5710,5540,5700,3600,3580,3600,7150,7140,7150,2300,2340,2300,1480,1470,1500,14900,14920,15400,2250,2250,2250,,18600,18600,18600,2040,2000,2030,2800,2720,2750,111850,115000,117850,10200,10240,10230,3400,3320,3320,17200,17200,17200,36850,36850,36850,26580,26890,26590,4100,4080,4200,27740,27740,27400,14100,14270,14640,4420,4420,4450,10390,10370,10370,16000,16000,16000,21000,21290,21190,145200,145200,145000,46450,46450,46100,600,550,560,23990,24000,24290,7161.37,7145.77,7175.03,7143.54,927470,0.4
112,2018-04-23,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17890,17850,17850,1990,2020,2000,3640,3630,3640,3280,3280,3260,14550,14550,14600,2030,2090,2120,28080,27900,28000,11500,11650,11310,14380,14380,14350,8950,9000,8950,9800,9750,9740,8210,8210,8200,7800,7760,7760,6750,6800,6850,790,780,780,3920,3920,4040,5700,5710,5710,3600,3570,3670,7150,7080,7100,2300,2340,2300,1500,1500,1490,15400,15410,15400,2250,2210,2310,,18600,18750,18800,2030,2020,2030,2750,2790,2710,117850,117850,117850,10230,10240,10230,3320,3400,3320,17200,17200,17200,36850,35750,35750,26590,26700,26500,4200,4200,4110,27400,27400,27340,14640,14640,14500,4450,4650,4530,10370,10370,10370,16000,16000,16000,21190,21220,20800,145000,145000,145000,46100,46100,46000,620,640,600,24290,24010,24500,7164.45,7151.31,7171.15,7148.7,1060000,0.04
113,2018-04-24,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17850,17850,17850,2000,2040,1970,3640,3540,3700,3260,3250,3200,14600,14600,14500,2030,2040,1980,28000,28000,28000,11310,11210,11350,14350,14350,14330,8950,8900,8920,9740,9740,9940,8200,8250,8240,7760,7700,7700,6850,6870,7030,820,840,860,4040,4040,4100,5710,5710,5710,3670,3600,3660,7100,7100,7100,2300,2340,2300,1490,1500,1490,15400,15270,15340,2310,2300,2300,,18800,18820,18820,2030,2000,2030,2710,2690,2730,117850,117790,118220,10230,10200,10200,3320,3330,3370,17200,17200,17200,35750,35750,35750,26500,26400,26220,4110,4180,4180,27340,27990,27400,14500,14500,14500,4530,4530,4300,10370,10380,10380,16000,15990,16000,20800,20300,20700,145000,143030,145000,46000,45920,45500,600,640,600,24500,24460,24390,7144.59,7161.52,7161.52,7131.96,787870,-0.28
114,2018-04-25,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17850,17800,17690,1970,2000,2000,3700,3600,3700,3200,3150,3200,14500,14500,14350,1980,2000,2000,28000,28000,27500,11350,11600,11500,14330,14130,14290,8920,8900,9090,9940,9750,9900,8240,8250,8230,7700,7690,7930,7030,7040,7100,860,840,860,4100,4100,4100,5710,5720,5740,3660,3600,3650,7100,7120,7120,2300,2340,2300,1430,1400,1400,15340,15340,15000,2300,2240,2300,,18820,18750,18620,2030,2040,2100,2730,2660,2730,118220,118200,119000,10200,10180,10040,3370,3370,3330,17200,17100,17100,35750,34980,34750,26220,26490,26490,4180,4300,4250,27400,27000,27500,14500,14400,14500,4300,4300,4200,10380,10380,10380,16000,16000,16000,20700,20600,20700,145000,144990,145100,45500,45480,45480,580,570,580,24390,24250,24200,7141.13,7136.71,7144.27,7119.75,1170000,-0.05
115,2018-04-26,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17690,17800,17450,2000,1960,2000,3700,3600,3670,3200,3200,3190,14350,14300,14340,2060,2090,2080,27500,27500,27450,11500,11600,11500,14290,14200,14280,9090,9150,9500,9900,9900,9990,8230,8250,8250,7930,7930,7970,7100,7040,7080,890,930,940,4100,4060,4080,5740,5710,5730,3650,3600,3650,7120,7130,7100,2300,2340,2300,1400,1440,1430,15000,15300,14850,2300,2290,2290,,18620,18590,18710,2100,2100,2140,2730,2670,2610,119000,119000,119900,10040,10190,10180,3330,3380,3350,17100,17000,17000,34750,33750,33710,26490,26470,26000,4250,4340,4140,27500,27500,27500,14500,14400,14250,4200,4200,4200,10380,10380,10380,16000,15980,16000,20700,20610,20650,145100,144990,145000,45480,45300,44860,580,590,560,24200,24000,23940,7113.2,7131.61,7139.05,7093.36,934950,-0.39
116,2018-04-27,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17450,17450,17600,2000,1970,1970,3670,3700,3600,3190,3200,3180,14340,14340,14300,2080,2080,2060,27450,27450,27180,11500,11500,11500,14280,14280,14290,9500,9510,9450,9990,10000,10170,8250,8250,8240,7970,7930,7970,7080,7000,6980,940,980,990,4080,3970,4000,5730,5710,5720,3650,3660,3660,7100,7110,7110,2300,2340,2300,1430,1410,1430,14850,14950,14990,2230,2230,2150,,18710,18800,18800,2140,2150,2160,2610,2600,2560,119900,119000,118000,10180,10190,10170,3350,3380,3320,17000,17000,17000,33710,32750,33710,26000,26380,26270,4140,4250,4250,27500,27500,28000,14250,14250,14130,4200,4250,4240,10380,10380,10380,16000,16000,16000,20650,20800,20500,145000,144000,145790,44860,43620,43850,550,530,530,23940,24000,24200,7124.94,7117.24,7126.66,7099.16,1280000,0.17
119,2018-04-30,89.5,6.5,3360.5,4791,-1219.8,1709.1,18229.5,17600,17690,17600,1970,1960,1940,3600,3700,3800,3180,3180,3190,14300,14320,14400,2060,2080,2040,27180,27700,27580,11500,11500,11500,14290,14280,14380,9450,9490,9250,10170,10170,10300,8240,8010,8210,7970,7780,7900,6980,7100,6980,990,980,990,4000,4070,4040,5720,5750,5700,3660,3560,3670,7110,7110,7110,2300,2340,2300,1430,1400,1420,14990,14600,14950,2150,2150,2240,,18800,18580,18580,2160,2160,2160,2560,2560,2540,118000,118000,118000,10170,10100,10180,3320,3320,3340,17000,17000,17000,33710,32750,33710,26270,26260,26000,4250,4320,4250,28000,27980,27980,14130,14100,13980,4240,4120,4200,10380,10380,10370,16000,16000,16000,20500,20700,20500,145790,145000,145500,43850,43850,43440,520,530,530,19360,19600,19680,7124.53,7125.27,7140.31,7093.41,483310,-0.01
121,2018-05-02,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5,17600,17800,17600,1940,1970,1970,3800,3700,3750,3190,3250,3380,14400,14300,14390,2040,2070,2070,27580,27600,27500,11500,11500,11220,14380,14380,14300,9250,9250,9180,10300,10400,10690,8210,8240,8200,7900,7900,7900,6980,6900,7000,1030,1070,970,4040,4000,4050,5700,5700,5720,3670,3600,3670,7110,6900,7000,2300,2340,2300,1420,1380,1420,14950,14520,14990,2240,2300,2360,,18580,18580,18580,2160,2140,2150,2540,2540,2550,118000,118000,120000,10180,10200,10200,3340,3330,3400,17000,17000,17000,33710,34710,34710,26000,26000,26000,4250,4130,4240,27980,27980,27980,13980,14000,13860,4200,4100,4080,10370,10370,10470,16000,16000,16000,20500,20650,20650,145500,145500,145500,43440,43010,43300,500,490,530,19680,19690,19400,7117.95,7127.06,7131.15,7102.35,921210,-0.09
122,2018-05-03,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5,17600,17750,17750,1970,1920,1920,3750,3750,3800,3380,3500,3580,14390,14390,14390,2070,2090,2060,27500,27580,28350,11220,11500,11220,14300,14300,14290,9180,9240,9100,10690,10690,10600,8200,8240,8200,7900,7980,8000,7000,7000,7000,970,970,970,4050,4080,4080,5720,5730,5720,3670,3600,3670,7000,7000,7000,2300,2340,2300,1420,1390,1420,14990,14970,14550,2370,2410,2410,,18580,18200,18600,2150,2150,2150,2550,2620,2550,120000,120990,119000,10200,10000,10190,3400,3400,3400,17000,17000,17000,34710,34710,34710,26000,26000,26000,4010,4100,4000,27980,28000,27980,13860,13850,13850,4080,4170,4170,10470,10480,10580,16000,15530,16000,20650,20650,20630,145500,147990,146000,43300,43400,44590,530,530,520,19400,19300,19120,7127.9,7127.55,7146.8,7111.1,1320000,0.14
123,2018-05-04,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5,17750,17700,17680,1920,1920,1920,3800,3800,3880,3580,3740,3640,14390,14390,14500,2060,2090,2060,28350,28490,28000,11220,11310,11490,14290,14220,14270,9100,9000,9070,10600,10650,10770,8200,8050,8200,8000,7980,8000,7000,6960,7000,970,970,960,4080,4060,3980,5720,5550,5700,3670,3630,3630,7000,7000,7150,2300,2340,2300,1420,1420,1410,14550,14530,14300,2410,2410,2480,,18600,18130,18450,2150,2090,2120,2550,2620,2620,119000,120480,120480,10190,10000,10180,3400,3400,3330,17000,17000,17400,34710,34710,34710,26000,26000,26000,4000,4000,4090,27980,27960,27800,13850,13850,13700,4170,4220,4090,8140,8370,8120,16000,16000,15990,20630,20630,20630,146000,146000,146000,44590,44590,44800,520,510,520,18470,19000,18800,7143.55,7157.15,7181.56,7111.69,640300,0.22
126,2018-05-07,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5,17680,17700,17500,1920,1900,1870,3880,3880,3900,3640,3700,3600,14500,14780,14790,2060,2020,2070,28000,28300,29120,11490,11830,11600,14270,14300,14340,9070,9070,9090,10770,10770,10900,8200,8200,8200,8000,8000,7970,7000,7000,7000,960,960,940,3980,3980,4100,5700,5710,5750,3630,3630,3560,7150,7200,7200,2300,2340,2300,1410,1410,1410,14120,14190,14190,2480,2460,2480,,18450,18450,18450,2120,2070,2070,2620,2600,2600,120480,120420,119480,10180,10190,10190,3330,3380,3330,17400,17000,17400,34710,34710,34710,26000,26000,25700,4090,4140,4090,26550,27100,27000,13700,13650,13750,4090,4100,4000,8120,8100,7920,15990,15950,15990,20630,20600,20500,146000,146500,146500,44800,44800,44800,510,520,510,18800,18800,19200,7143.53,7144.03,7167.83,7132.93,758570,0
127,2018-05-08,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5,17500,17650,17310,1870,1920,1870,3900,3900,3950,3600,3560,3660,14790,14780,14900,2070,2030,2030,29120,29990,30700,11600,11830,11600,14340,14340,14400,9090,9090,9170,10900,10900,11000,8200,8050,8150,7970,7900,8000,7000,7000,7060,940,930,910,4100,4090,4160,5750,5770,5750,3560,3620,3620,7200,7200,7200,2300,2340,2300,1410,1380,1400,14190,14190,14400,2480,2480,2450,,18450,18040,18450,2070,2080,2090,2600,2620,2610,119480,119160,118000,10190,10100,10170,3330,3310,3380,17400,17400,17300,34710,34710,34710,25700,25850,25850,4090,4090,4090,27000,27000,26800,13750,13700,13980,4000,4000,3960,7920,7990,8000,15990,16010,16000,20500,20620,20620,146500,146700,147500,43600,44660,43600,510,500,500,19200,19190,19240,7170.61,7166.45,7180.29,7145.53,1560000,0.38
128,2018-05-09,94.8,6.39,3473.8,5012.9,-1218.8,1709.1,18229.5,17310,17650,17670,1870,1870,1810,3950,3950,3900,3660,3630,3570,14900,14970,14800,2030,2010,2000,30700,31620,31890,11600,11600,11790,14400,14400,14370,9170,9170,9400,11000,11000,11300,8150,8190,8200,8000,7970,8000,7060,7090,7000,910,890,930,4160,4160,4180,5750,5740,5740,3620,3630,3630,7200,7000,7000,2300,2340,2300,1400,1420,1400,14400,14400,14400,2450,2380,2440,,18450,18740,18450,2090,2050,2070,2610,2550,2600,118000,116000,115000,10170,10180,10230,3380,3380,3380,17300,17000,17200,34710,34710,34710,25850,25870,26350,4090,4090,4190,26800,26800,26700,13980,14000,14120,3960,4000,4200,8000,8000,8000,16000,16380,16000,20620,20630,20640,147500,147500,147500,43600,44700,44820,500,500,510,19240,19240,19460,7227.44,7191.75,7242.74,7191.75,778250,0.79
