,TunisAir,court,ouverture,cloture,plus haut,smth 
2018-12-22,,,,,,
2018-12-23,,,,,,
2018-12-24,,"0,830","0,820","0,800",,
2018-12-25,,"0,800","0,780","0,800",,
2018-12-26,,"0,800","0,790","0,790",,
2018-12-27,,"0,790","0,780","0,790",,
2018-12-28,,"0,790","0,800","0,790",,
2018-12-29,,,,,,
2018-12-30,,,,,,
2018-12-31,,"0,780","0,780","0,790",,
2019-01-01,,,,,,
2019-01-02,,"0,780","0,780","0,760",,
2019-01-03,,"0,760","0,760","0,740",,
2019-01-04,,"0,740","0,720","0,740",,
2019-01-05,,,,,,
2019-01-06,,,,,,
2019-01-07,,"0,710","0,690","0,710",,
2019-01-08,,"0,670","0,690","0,690",,
2019-01-09,,,,,,
2019-01-10,,"0,690","0,690","0,690",,
2019-01-11,,"0,690","0,700","0,730",,
2019-01-12,,,,,,
2019-01-13,,,,,,
2019-01-14,,,,,,
2019-01-15,,"0,730","0,720","0,750",,
2019-01-16,,"0,720","0,740","0,720",,
2019-01-17,,"0,720","0,700","0,710",,
2019-01-18,,"0,710","0,720","0,700",,
2019-01-19,,,,,,
2019-01-20,,,,,,
2019-01-21,,"0,700","0,720","0,700",,
2019-01-22,,"0,700","0,680","0,690",,
2019-01-23,,"0,690","0,690","0,680",,
2019-01-24,,"0,680","0,690","0,690",,
2019-01-25,,"0,690","0,680","0,680",,
2019-01-26,,,,,,
2019-01-27,,,,,,
2019-01-28,,"0,680","0,700","0,690",,
2019-01-29,,"0,690","0,690","0,690",,
2019-01-30,,"0,690","0,690","0,730",,
2019-01-31,,"0,730","0,730","0,740",,
2019-02-01,,"0,740","0,720","0,720",,
2019-02-02,,,,,,
2019-02-03,,,,,,
2019-02-04,,"0,720","0,720","0,700",,
2019-02-05,,"23,650","23,610","23,650",,
2019-02-06,,,,,,
2019-02-07,,,,,,
2019-02-08,,"23,650","23,650","23,650",,
2019-02-09,,,,,,
2019-02-10,,,,,,
2019-02-11,,,,,,
2019-02-12,,,,,,
2019-02-13,,"0,760","0,730","0,760",,
2019-02-14,,"0,730","0,710","0,740",,
2019-02-15,,"0,740","0,740","0,740",,
2019-02-16,,,,,,
2019-02-17,,,,,,
2019-02-18,,"0,740","0,750","0,750",,
2019-02-19,,"0,750","0,750","0,790",,
2019-02-20,,"0,790","0,810","0,790",,
2019-02-21,,"0,790","0,770","0,750",,
2019-02-22,,,,,,
2019-02-23,,,,,,
2019-02-24,,,,,,
2019-02-25,,"0,790","0,810","0,830",,
2019-02-26,,"0,830","0,840","0,880",,
2019-02-27,,"0,880","0,900","0,860",,
2019-02-28,,"0,860","0,840","0,830",,
2019-03-01,,"0,830","0,810","0,830",,
2019-03-02,,,,,,
2019-03-03,,,,,,
2019-03-04,,"0,830","0,820","0,800",,
2019-03-05,,"0,800","0,800","0,810",,
2019-03-06,,"0,790","0,840","0,840",,
2019-03-07,,"0,840","0,840","0,830",,
2019-03-08,,"0,830","0,820","0,830",,
2019-03-09,,,,,,
2019-03-10,,,,,,
2019-03-11,,"0,830","0,840","0,840",,
2019-03-12,,"0,840","0,820","0,850",,
2019-03-13,,"0,820","0,800","0,820",,
2019-03-14,,"0,820","0,800","0,810",,
2019-03-15,,"0,810","0,810","0,830",,
2019-03-16,,,,,,
2019-03-17,,,,,,
2019-03-18,,"0,820","0,780","0,820",,
2019-03-19,,"0,780","0,760","0,780",,
2019-03-20,,,,,,
2019-03-21,,"0,780","0,800","0,780",,
2019-03-22,,"0,780","0,800","0,790",,
2019-03-23,,,,,,
2019-03-24,,,,,,
2019-03-25,,"24,270","24,150","24,450",,
2019-03-26,,"0,790","0,780","0,790",,
2019-03-27,,"0,780","0,770","0,770",,
2019-03-28,,,,,,
2019-03-29,,"0,760","0,750","0,760",,
2019-03-30,,,,,,
2019-03-31,,,,,,
2019-04-01,,"0,760","0,760","0,760",,
2019-04-02,,"0,740","0,740","0,740",,
2019-04-03,,"0,740","0,740","0,740",,
2019-04-04,,"0,740","0,740","0,740",,
2019-04-05,,"0,740","0,730","0,730",,
2019-04-06,,,,,,
2019-04-07,,,,,,
2019-04-08,,"0,730","0,710","0,720",,
2019-04-09,,,,,,
2019-04-10,,"0,720","0,730","0,720",,
2019-04-11,,"0,720","0,720","0,720",,
2019-04-12,,"0,720","0,710","0,720",,
2019-04-13,,,,,,
2019-04-14,,,,,,
2019-04-15,,"0,720","0,700","0,710",,
2019-04-16,,"0,690","0,690","0,700",,
2019-04-17,,"0,690","0,700","0,690",,
2019-04-18,,"0,690","0,690","0,670",,
2019-04-19,,"0,670","0,690","0,690",,
2019-04-20,,,,,,
2019-04-21,,,,,,
2019-04-22,,"0,690","0,700","0,720",,
2019-04-23,,"0,720","0,720","0,720",,
2019-04-24,,"0,720","0,730","0,720",,
2019-04-25,,"0,720","0,700","0,710",,
2019-04-26,,"0,710","0,700","0,700",,
2019-04-27,,,,,,
2019-04-28,,,,,,
2019-04-29,,"0,700","0,690","0,700",,
2019-04-30,,"0,690","0,690","0,670",,
2019-05-01,,,,,,
2019-05-02,,"0,670","0,670","0,690",,
2019-05-03,,"0,690","0,680","0,680",,
2019-05-04,,,,,,
2019-05-05,,,,,,
2019-05-06,,"0,680","0,670","0,670",,
2019-05-07,,"0,660","0,650","0,670",,
2019-05-08,,"0,650","0,650","0,650",,
2019-05-09,,"0,650","0,640","0,650",,
2019-05-10,,"0,640","0,640","0,650",,
2019-05-11,,,,,,
2019-05-12,,,,,,
2019-05-13,,"0,640","0,640","0,630",,
2019-05-14,,"0,630","0,610","0,630",,
2019-05-15,,"0,610","0,630","0,630",,
2019-05-16,,"0,630","0,630","0,630",,
2019-05-17,,"0,630","0,620","0,630",,
2019-05-18,,,,,,
2019-05-19,,,,,,
2019-05-20,,"0,630","0,630","0,640",,
2019-05-21,,"32,790","32,790","32,280",,
2019-05-22,,"32,210","32,500","33,000",,
2019-05-23,,"32,500","32,300","32,100",,
2019-05-24,,"0,710","0,740","0,750",,
2019-05-25,,,,,,
2019-05-26,,,,,,
2019-05-27,,"32,300","32,300","32,700",,
2019-05-28,,"0,780","0,790","0,800",,
2019-05-29,,"0,800","0,790","0,770",,
2019-05-30,,"0,770","0,750","0,750",,
2019-05-31,,"0,750","0,750","0,740",,
2019-06-01,,,,,,
