,SOTRAPIL,ref,ouverture,cloture
2018-09-18,,"16,440","16,400","16,390"
2018-09-19,,"16,390","16,130","16,120"
2018-09-20,,"16,120","15,660","16,000"
2018-09-21,,"16,000","15,900","15,600"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"15,600","15,600","15,200"
2018-09-25,,"15,200","15,490","15,880"
2018-09-26,,"15,880","15,900","15,900"
2018-09-27,,"15,900","15,890","15,890"
2018-09-28,,"15,890","15,880","15,780"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"15,780","15,770","15,310"
2018-10-02,,"15,310","15,620","15,000"
2018-10-03,,"15,000","14,700","15,000"
2018-10-04,,"15,000","14,570","14,600"
2018-10-05,,"14,600","14,860","15,200"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"15,200","15,200","15,600"
2018-10-09,,"15,600","15,500","15,650"
2018-10-10,,"15,650","15,500","15,600"
2018-10-11,,,,
2018-10-12,,"15,600","15,600","15,200"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"15,200","15,500","15,500"
2018-10-17,,"15,500","15,400","15,040"
2018-10-18,,"15,040","15,390","15,400"
2018-10-19,,"15,400","15,000","15,400"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"15,400","15,450","15,400"
2018-10-23,,"15,400","15,400","14,940"
2018-10-24,,"14,940","14,850","15,190"
2018-10-25,,"15,190","14,750","15,000"
2018-10-26,,"15,000","14,750","14,750"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"14,750","14,870","15,000"
2018-10-30,,"15,000","15,400","15,450"
2018-10-31,,"15,450","15,600","16,300"
2018-11-01,,"16,300","16,700","17,200"
2018-11-02,,"17,200","17,500","17,440"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"17,440",,
2018-11-06,,"17,440","17,300","17,300"
2018-11-07,,"17,300","16,950","16,830"
2018-11-08,,"16,830",,
2018-11-09,,"16,830","16,600","16,330"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"16,330","16,010","16,570"
2018-11-13,,"16,570","16,570","16,080"
2018-11-14,,"16,080","16,010","15,600"
2018-11-15,,"15,600","15,590","15,600"
2018-11-16,,"15,600","15,600","15,780"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"15,780","15,890","16,250"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"16,720","16,800","16,700"
2018-11-23,,"16,700","16,690","16,590"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"16,590","16,210","16,500"
2018-11-27,,"16,500","16,500","16,490"
2018-11-28,,"16,490","16,500","16,840"
2018-11-29,,"16,840","16,840","16,830"
2018-11-30,,"16,830","16,820","16,790"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"16,790","16,500","16,790"
2018-12-04,,"16,790","16,800","16,680"
2018-12-05,,"16,680","16,700","16,500"
2018-12-06,,"16,500","16,500","16,500"
