,BNA,ref,ouverture,cloture
2018-10-02,,"18,760","18,870","18,600"
2018-10-03,,"18,600","18,180","18,300"
2018-10-04,,"18,300","18,040","18,500"
2018-10-05,,"18,500","18,480","18,500"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"18,500","18,800","18,800"
2018-10-09,,"18,800","18,500","18,790"
2018-10-10,,"18,790","18,610","18,600"
2018-10-11,,,,
2018-10-12,,"18,400","18,500","18,400"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"18,400","18,790","18,450"
2018-10-17,,"18,450","18,250","18,000"
2018-10-18,,"18,000","18,490","18,150"
2018-10-19,,"18,150","18,140","18,140"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"18,140","18,200","17,950"
2018-10-23,,"17,950","18,140","17,950"
2018-10-24,,"17,950","17,950","17,750"
2018-10-25,,"17,750","17,790","17,600"
2018-10-26,,"17,600","17,600","17,490"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"17,490","17,490","17,370"
2018-10-30,,"17,370","17,370","17,150"
2018-10-31,,"17,150","17,150","17,140"
2018-11-01,,"17,140","17,000","17,000"
2018-11-02,,"17,000","17,000","16,800"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"16,800","16,800","16,700"
2018-11-06,,"16,700","16,700","16,400"
2018-11-07,,"16,400","16,350","16,000"
2018-11-08,,"16,000","16,000","15,940"
2018-11-09,,"15,940","15,900","15,730"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"15,730","15,690","15,220"
2018-11-13,,"15,220","15,390","14,930"
2018-11-14,,"14,930","14,850","15,300"
2018-11-15,,"15,300","15,690","15,800"
2018-11-16,,"15,800","15,900","15,750"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"15,750","15,750","16,000"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"15,890","15,890","15,880"
2018-11-23,,"15,880","15,890","15,700"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"15,700","15,700","15,540"
2018-11-27,,"15,540","15,500","15,370"
2018-11-28,,"15,370","15,500","15,040"
2018-11-29,,"15,040","15,010","14,560"
2018-11-30,,"14,560","14,850","14,850"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"14,850","15,190","15,000"
2018-12-04,,"15,000","14,990","14,970"
2018-12-05,,"14,970","14,990","14,800"
2018-12-06,,"14,800","14,800","14,750"
2018-12-07,,"14,750","14,740","14,690"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"14,690","14,750","14,400"
2018-12-11,,"14,400","14,490","14,390"
2018-12-12,,"14,390","14,700","14,500"
2018-12-13,,"14,500","14,600","14,450"
2018-12-14,,"14,450","14,440","14,490"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"14,490","14,490","14,490"
2018-12-18,,,,
2018-12-19,,"14,250","14,260","14,130"
2018-12-20,,"14,130","14,130","13,710"
2018-12-21,,"13,710","13,710","14,000"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"14,000","14,130","14,440"
2018-12-25,,"14,440","14,400","14,100"
2018-12-26,,"14,100","14,200","14,190"
2018-12-27,,"14,190","14,000","13,580"
2018-12-28,,"13,580","13,870","14,000"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"14,000","14,000","14,000"
2019-01-01,,,,
2019-01-02,,"14,000","14,190","14,000"
2019-01-03,,"14,000","13,790","13,750"
2019-01-04,,"13,750","13,600","13,600"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"13,600","13,990","13,580"
2019-01-08,,"13,580","13,970","13,580"
2019-01-09,,,,
2019-01-10,,"13,410","13,100","13,110"
2019-01-11,,"13,110","13,500","13,500"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"13,500","13,700","13,700"
2019-01-16,,"13,700","13,700","13,600"
2019-01-17,,"13,600","13,970","13,600"
2019-01-18,,"13,600","13,690","13,490"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"13,490","13,850","13,600"
2019-01-22,,"13,600","13,600","13,490"
2019-01-23,,"13,490","13,500","13,460"
2019-01-24,,"13,460","13,460","13,390"
2019-01-25,,"13,390",,
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"13,390","13,190","13,380"
2019-01-29,,"13,380","13,350","13,360"
2019-01-30,,"13,360","13,370","13,380"
2019-01-31,,"13,380","13,440","13,400"
2019-02-01,,"13,400","13,010","13,350"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"13,350","13,350","13,330"
2019-02-05,,"13,330","13,000","13,300"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"13,200","13,300","13,000"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"13,000","13,000","12,700"
2019-02-14,,"12,700","12,990","12,970"
2019-02-15,,"12,970","12,960","12,960"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"12,960","12,950","12,890"
2019-02-19,,"12,890","12,900","12,900"
2019-02-20,,"12,900","12,890","12,880"
2019-02-21,,"12,880","12,890","12,800"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"12,650","12,790","12,650"
2019-02-26,,"12,650","12,650","12,400"
2019-02-27,,"12,400","12,600","12,590"
2019-02-28,,"12,590","12,590","12,490"
2019-03-01,,"12,490","12,580","12,490"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"12,490","12,490","12,480"
2019-03-05,,"12,480","12,480","12,470"
2019-03-06,,"12,470","12,400","12,400"
2019-03-07,,"12,400","12,380","12,390"
2019-03-08,,"12,390","12,390","12,150"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"12,150","12,380","12,390"
2019-03-12,,"12,390","12,300","12,400"
2019-03-13,,"12,400","12,200","12,200"
2019-03-14,,"12,200","12,000","12,000"
2019-03-15,,"12,000","12,000","11,980"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"11,980","11,980","11,970"
2019-03-19,,"11,970","11,700","11,960"
2019-03-20,,,,
2019-03-21,,"11,960","12,190","12,190"
2019-03-22,,"12,190","12,150","12,130"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"12,130","11,900","12,000"
2019-03-26,,"12,000","11,910","12,100"
2019-03-27,,"12,100","11,910","12,000"
2019-03-28,,,,
2019-03-29,,"12,000","11,920","12,190"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"12,190","12,000","12,180"
2019-04-02,,"12,180","12,100","12,100"
2019-04-03,,"12,100","12,000","12,730"
2019-04-04,,"12,730","12,710","12,680"
2019-04-05,,"12,680","12,990","12,890"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"12,890","12,990","12,800"
2019-04-09,,,,
2019-04-10,,"12,800","12,800","12,750"
2019-04-11,,"12,750","12,740","12,700"
2019-04-12,,"12,700","12,650","12,630"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"12,220","12,220","12,000"
2019-04-16,,"12,000","11,900","11,990"
2019-04-17,,"11,990","11,900","11,960"
2019-04-18,,"11,960","11,800","11,970"
2019-04-19,,"11,970","11,970","11,970"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"11,970","12,000","11,970"
