,BT,ref,ouverture,cloture
2019-01-11,,"7,740","7,740","7,670"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"7,670","7,670","7,760"
2019-01-16,,"7,760","7,760","7,800"
2019-01-17,,"7,800","7,800","7,790"
2019-01-18,,"7,790","7,790","7,780"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"7,780","7,800","7,800"
2019-01-22,,"7,800","7,800","7,900"
2019-01-23,,"7,900","7,900","8,210"
2019-01-24,,"8,210","8,100","7,920"
2019-01-25,,"7,920","8,000","8,070"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"8,070","8,070","7,990"
2019-01-29,,"7,990","7,990","7,980"
2019-01-30,,"7,980","7,990","7,990"
2019-01-31,,"7,990","7,990","7,990"
2019-02-01,,"7,990","8,000","7,990"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"7,990","7,990","7,990"
2019-02-05,,"7,990","7,990","7,990"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"7,990","7,990","7,990"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"7,980","7,980","7,990"
2019-02-14,,"7,990","7,990","7,980"
2019-02-15,,"7,980","7,980","7,980"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"7,980","7,980","7,980"
2019-02-19,,"7,980","8,000","7,980"
2019-02-20,,"7,980","8,000","7,980"
2019-02-21,,"7,980","7,980","7,980"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"7,970","7,900","7,970"
2019-02-26,,"7,970","7,970","7,970"
2019-02-27,,"7,970","7,960","7,970"
2019-02-28,,"7,970","7,980","7,970"
2019-03-01,,"7,970","7,970","7,970"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"7,970","7,970","7,970"
2019-03-05,,"7,970","7,970","7,970"
2019-03-06,,"7,970","7,980","7,970"
2019-03-07,,"7,970","7,980","7,980"
2019-03-08,,"7,980","7,980","7,970"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"7,970","7,970","7,970"
2019-03-12,,"7,970","7,970","7,970"
2019-03-13,,"7,970","7,970","7,970"
2019-03-14,,"7,970","7,990","7,970"
2019-03-15,,"7,970","7,970","8,100"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"8,100","7,970","7,940"
2019-03-19,,"7,940","7,800","7,500"
2019-03-20,,,,
2019-03-21,,"7,500","7,550","7,500"
2019-03-22,,"7,500","7,500","7,500"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"7,500","7,700","7,500"
2019-03-26,,"7,500","7,700","7,500"
2019-03-27,,"7,500","7,510","7,500"
2019-03-28,,,,
2019-03-29,,"7,480","7,480","7,480"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"7,480","7,480","7,480"
2019-04-02,,"7,480","7,480","7,500"
2019-04-03,,"7,500","7,550","7,500"
2019-04-04,,"7,500","7,500","7,720"
2019-04-05,,"7,720","7,750","7,900"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"7,900","7,900","7,900"
2019-04-09,,,,
2019-04-10,,"7,900","7,670","7,880"
2019-04-11,,"7,880","7,880","7,880"
2019-04-12,,"7,880","7,880","7,880"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"7,880","7,880","7,880"
2019-04-16,,"7,880","7,880","7,880"
2019-04-17,,"7,880","7,800","7,880"
2019-04-18,,"7,880","7,880","7,880"
2019-04-19,,"7,880","7,880","7,880"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"7,880","7,880","7,880"
2019-04-23,,"7,880","7,880","7,800"
2019-04-24,,"7,800","7,880","7,880"
2019-04-25,,"7,880","7,880","7,880"
2019-04-26,,"7,880","7,700","7,800"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"7,800","7,800","7,800"
2019-04-30,,"7,800","7,790","7,800"
2019-05-01,,,,
2019-05-02,,"7,800","7,800","7,800"
2019-05-03,,"7,800","7,800","7,800"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"7,550","7,720","7,700"
2019-05-07,,"7,700",,
2019-05-08,,"7,700","7,690","7,600"
