,ELECTROSTAR,ref,ouverture,cloture
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"1,730","1,760","1,710"
2019-10-15,,,,
2019-10-16,,"1,710","1,710","1,660"
2019-10-17,,"1,610","1,560","1,520"
2019-10-18,,"1,520",,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"1,460","1,400","1,520"
2019-10-22,,"1,540",,
2019-10-23,,"1,600","1,650","1,690"
2019-10-24,,"1,690","1,690","1,760"
2019-10-25,,"1,760","1,790","1,740"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"1,740","1,720","1,690"
2019-10-29,,"1,690","1,720","1,670"
2019-10-30,,"1,670","1,620","1,570"
2019-10-31,,"1,570","1,550","1,660"
2019-11-01,,"1,660","1,700","1,740"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"1,740","1,730","1,720"
2019-11-05,,"1,720","1,720","1,670"
2019-11-06,,"1,670","1,700","1,620"
2019-11-07,,"1,620","1,670","1,560"
2019-11-08,,"1,560","1,620","1,630"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"1,630","1,670","1,670"
2019-11-12,,"1,670","1,680","1,620"
2019-11-13,,"1,620","1,640","1,650"
2019-11-14,,"1,650","1,680","1,680"
2019-11-15,,"1,680","1,630","1,610"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"1,610","1,640","1,640"
2019-11-19,,"1,640",,
2019-11-20,,"1,640","1,630","1,560"
2019-11-21,,"1,560","1,520","1,520"
2019-11-22,,"1,520","1,500","1,460"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"1,460","1,480","1,520"
2019-11-26,,"1,520","1,520","1,520"
2019-11-27,,"1,520","1,480","1,520"
2019-11-28,,"1,520","1,500","1,500"
2019-11-29,,"1,500","1,500","1,490"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"1,490","1,450","1,490"
2019-12-03,,"1,490","1,450","1,440"
2019-12-04,,"1,440","1,430","1,400"
2019-12-05,,"1,400","1,420","1,410"
2019-12-06,,"1,410","1,380","1,380"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"1,380","1,380","1,380"
2019-12-10,,"1,380","1,340","1,380"
2019-12-11,,"1,380","1,410","1,450"
2019-12-12,,"1,450","1,450","1,490"
2019-12-13,,"1,490","1,490","1,490"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"1,490","1,490","1,500"
2019-12-17,,"1,500","1,500","1,500"
2019-12-18,,"1,500","1,500","1,490"
2019-12-19,,"1,490","1,500","1,500"
2019-12-20,,"1,500",,
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"1,500",,
2019-12-24,,"1,500","1,470","1,460"
2019-12-25,,"1,460","1,500","1,490"
2019-12-26,,"1,490","1,470","1,470"
2019-12-27,,"1,470","1,490","1,450"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"1,450","1,410","1,410"
2019-12-31,,"1,410","1,400","1,340"
2020-01-01,,,,
2020-01-02,,"1,340","1,360","1,300"
2020-01-03,,"1,300","1,300","1,270"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"1,270","1,320","1,340"
2020-01-07,,"1,340","1,300","1,300"
2020-01-08,,"1,300","1,350","1,250"
2020-01-09,,"1,250","1,250","1,220"
2020-01-10,,"1,220","1,220","1,190"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"1,190","1,140","1,230"
2020-01-14,,,,
2020-01-15,,"1,230","1,230","1,280"
2020-01-16,,"1,280","1,310","1,340"
2020-01-17,,"1,340","1,360","1,410"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"1,410","1,420","1,460"
2020-01-21,,"1,460","1,500","1,500"
2020-01-22,,"1,500","1,500","1,500"
2020-01-23,,"1,500","1,500","1,530"
2020-01-24,,"1,530","1,530","1,520"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"1,520","1,500","1,500"
2020-01-28,,"1,500",,
2020-01-29,,"1,500",,
2020-01-30,,"1,440","1,460","1,470"
2020-01-31,,"1,470","1,470","1,470"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"1,430","1,470","1,500"
2020-02-04,,"1,500","1,490","1,500"
2020-02-05,,"1,500","1,480","1,500"
2020-02-06,,"1,500","1,500","1,500"
2020-02-07,,"1,500","1,460","1,500"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"1,500","1,460","1,460"
2020-02-11,,"1,460","1,460","1,490"
2020-02-12,,"1,490","1,470","1,470"
2020-02-13,,"1,470","1,470","1,430"
2020-02-14,,"1,430","1,390","1,430"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
