,ADWYA,ref,ouverture,cloture
2019-01-22,,"4,700","4,800","4,800"
2019-01-23,,"4,800","4,720","4,800"
2019-01-24,,"4,800","4,800","4,790"
2019-01-25,,"4,790","4,800","4,800"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"4,800","4,800","4,800"
2019-01-29,,"4,800","4,750","4,740"
2019-01-30,,"4,740","4,700","4,750"
2019-01-31,,"4,750","4,800","4,800"
2019-02-01,,"4,800","4,750","4,710"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"4,710","4,700","4,700"
2019-02-05,,"4,700","4,740","4,740"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"4,710","4,680","4,600"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"4,680","4,680","4,680"
2019-02-14,,"4,680","4,610","4,610"
2019-02-15,,"4,610","4,600","4,700"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"4,700","4,700","4,610"
2019-02-19,,"4,610","4,610","4,610"
2019-02-20,,"4,610","4,610","4,650"
2019-02-21,,"4,650","4,700","4,620"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"4,650","4,680","4,700"
2019-02-26,,"4,700","4,700","4,700"
2019-02-27,,"4,700","4,640","4,640"
2019-02-28,,"4,640","4,650","4,640"
2019-03-01,,"4,640","4,700","4,640"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"4,640","4,700","4,620"
2019-03-05,,"4,620","4,620","4,620"
2019-03-06,,"4,620","4,630","4,620"
2019-03-07,,"4,620","4,640","4,640"
2019-03-08,,"4,640","4,690","4,630"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"4,630","4,630","4,630"
2019-03-12,,"4,630","4,600","4,630"
2019-03-13,,"4,630","4,500","4,630"
2019-03-14,,"4,630","4,610","4,610"
2019-03-15,,"4,610","4,700","4,700"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"4,700","4,680","4,680"
2019-03-19,,"4,680","4,650","4,650"
2019-03-20,,,,
2019-03-21,,"4,650","4,600","4,600"
2019-03-22,,"4,600","4,700","4,630"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"4,630","4,630","4,630"
2019-03-26,,"4,630",,
2019-03-27,,"4,630","4,600","4,510"
2019-03-28,,,,
