,ATB,ref,ouverture,cloture
2018-07-09,,"4,200","4,140","4,140"
2018-07-10,,"4,140","4,150","4,140"
2018-07-11,,"4,140","4,140","4,140"
2018-07-12,,"4,140","4,140","4,140"
2018-07-13,,"4,140","4,130","4,140"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"4,140","4,130","4,200"
2018-07-17,,"4,200","4,150","4,190"
2018-07-18,,"4,190","4,150","4,150"
2018-07-19,,"4,150","4,210","4,210"
2018-07-20,,"4,210","4,210","4,150"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"4,150","4,150","4,150"
2018-07-24,,"4,150","4,150","4,150"
2018-07-25,,,,
2018-07-26,,"4,150","4,160","4,150"
2018-07-27,,"4,150","4,150","4,130"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"4,130","4,130","4,140"
2018-07-31,,"4,140","4,130","4,150"
2018-08-01,,"4,150","4,150","4,150"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"4,150","4,200","4,150"
2018-08-07,,"4,150","4,150","4,150"
2018-08-08,,"4,150","4,150","4,150"
2018-08-09,,"4,150","4,150","4,150"
2018-08-10,,"4,150","4,150","4,140"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"4,140","4,150","4,140"
2018-08-15,,"4,140","4,140","4,150"
2018-08-16,,"4,150","4,150","4,150"
2018-08-17,,"4,150","4,150","4,150"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"4,150","4,130","4,110"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"4,110","4,110","4,110"
2018-08-24,,"4,110","4,130","4,130"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"4,130","4,130","4,130"
2018-08-28,,"4,130","4,110","4,110"
2018-08-29,,"4,110","4,120","4,120"
2018-08-30,,"4,120","4,120","4,130"
2018-08-31,,"4,130","4,130","4,200"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"4,200","4,290","4,280"
2018-09-04,,"4,280","4,210","4,200"
2018-09-05,,,,
2018-09-06,,"4,200","4,200","4,160"
2018-09-07,,"4,160","4,150","4,150"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"4,150","4,120","4,120"
2018-09-13,,"4,120","4,120","4,120"
2018-09-14,,"4,120","4,120","4,120"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"4,120","4,100","4,100"
2018-09-18,,"4,100","4,100","4,120"
2018-09-19,,"4,120","4,150","4,150"
2018-09-20,,"4,150",,
2018-09-21,,"4,150","4,120","4,110"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"4,110",,
2018-09-25,,"4,110","4,150","4,130"
2018-09-26,,"4,130","4,120","4,150"
2018-09-27,,"4,150","4,150","4,120"
2018-09-28,,"4,120","4,110","4,080"
2018-09-29,,,,
2018-09-30,,,,
