,tijari,ref,ouverture,cloture
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"44,000","43,000","42,950"
2018-10-17,,"42,950","42,950","41,670"
2018-10-18,,"41,670","41,670","41,600"
2018-10-19,,"41,600","41,700","42,480"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"42,480","42,750","43,450"
2018-10-23,,"43,450","44,390","43,060"
2018-10-24,,"43,060","43,430","42,130"
2018-10-25,,"42,130","42,130","41,780"
2018-10-26,,"41,780","40,700","42,400"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"42,400","42,400","43,000"
2018-10-30,,"43,000","42,410","43,000"
2018-10-31,,"43,000","43,000","43,010"
2018-11-01,,"43,010","43,410","43,000"
2018-11-02,,"43,000","43,000","43,000"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"43,000","43,000","43,000"
2018-11-06,,"43,000","42,900","42,900"
2018-11-07,,"42,900","42,600","42,600"
2018-11-08,,"42,600","42,590","42,600"
2018-11-09,,"42,600","42,500","42,300"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"42,300","42,000","42,090"
2018-11-13,,"42,090","42,300","42,090"
2018-11-14,,"42,090","42,090","42,400"
2018-11-15,,"42,400","42,000","42,110"
2018-11-16,,"42,110","41,100","42,200"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"42,200","42,190","42,190"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"42,000","42,000","41,990"
2018-11-23,,"41,990","41,500","41,400"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"41,400","41,290","40,480"
2018-11-27,,"40,480","41,600","41,000"
2018-11-28,,"41,000","41,900","41,200"
2018-11-29,,"41,200","41,200","41,000"
2018-11-30,,"41,000","41,000","41,500"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"41,500","41,500","42,500"
2018-12-04,,"42,500","43,440","43,000"
2018-12-05,,"43,000","43,000","42,990"
2018-12-06,,"42,990","42,990","42,990"
2018-12-07,,"42,990","43,010","42,650"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"42,650","41,800","40,550"
