,ARTES,ref,ouverture,cloture
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"6,320","6,300","6,300"
2018-10-17,,"6,300","6,300","6,330"
2018-10-18,,"6,330","6,300","6,310"
2018-10-19,,"6,310","6,310","6,310"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"6,310","6,310","6,300"
2018-10-23,,"6,300","6,300","6,300"
2018-10-24,,"6,300","6,300","6,300"
2018-10-25,,"6,300","6,280","6,280"
2018-10-26,,"6,280","6,260","6,260"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"6,260","6,250","6,220"
2018-10-30,,"6,220","6,250","6,220"
2018-10-31,,"6,220","6,220","6,200"
2018-11-01,,"6,200","6,180","6,110"
2018-11-02,,"6,110","6,110","6,140"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"6,140","6,140","6,140"
2018-11-06,,"6,140","6,180","6,140"
2018-11-07,,"6,140","6,150","6,160"
2018-11-08,,"6,160","6,170","6,220"
2018-11-09,,"6,220","6,160","6,210"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"6,210","6,200","6,210"
2018-11-13,,"6,210","6,170","6,210"
2018-11-14,,"6,210","6,210","6,230"
2018-11-15,,"6,230","6,220","6,250"
2018-11-16,,"6,250","6,230","6,250"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"6,250","6,250","6,300"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"6,260","6,230","6,190"
2018-11-23,,"6,190","6,270","6,150"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"6,150","6,150","6,200"
2018-11-27,,"6,200","6,210","6,210"
2018-11-28,,"6,210","6,200","6,150"
2018-11-29,,"6,150","6,150","6,200"
2018-11-30,,"6,200","6,200","6,200"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"6,200","6,200","6,200"
2018-12-04,,"6,200","6,200","6,220"
2018-12-05,,"6,220","6,200","6,200"
2018-12-06,,"6,200","6,200","6,200"
2018-12-07,,"6,200","6,200","6,240"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"6,240","6,160","6,200"
