,TELNET,ref,ouverture,cloture
2018-10-31,,"8,720","8,720","8,980"
2018-11-01,,"8,980","9,240","9,450"
2018-11-02,,"9,450","9,500","9,460"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"9,460","9,480","9,550"
2018-11-06,,"9,550","9,400","9,400"
2018-11-07,,"9,400","9,460","9,200"
2018-11-08,,"9,200","9,450","9,350"
2018-11-09,,"9,350","9,300","9,340"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"9,340","9,350","9,200"
2018-11-13,,"9,200","9,130","9,130"
2018-11-14,,"9,130","9,180","9,130"
2018-11-15,,"9,130","9,180","9,150"
2018-11-16,,"9,150","9,040","9,150"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"9,150","9,150","9,130"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"9,130","9,130","9,310"
2018-11-23,,"9,310","9,390","9,240"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"9,240","9,200","9,150"
2018-11-27,,"9,150","9,150","9,280"
2018-11-28,,"9,280","9,250","9,210"
2018-11-29,,"9,210","9,190","9,170"
2018-11-30,,"9,170","9,170","9,230"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"9,230","9,230","9,200"
2018-12-04,,"9,200","9,200","9,210"
2018-12-05,,"9,210","9,220","9,180"
2018-12-06,,"9,180","9,150","9,140"
2018-12-07,,"9,140","9,100","9,100"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"9,100","9,100","8,950"
2018-12-11,,"8,950","8,950","8,880"
2018-12-12,,"8,880","8,880","8,950"
2018-12-13,,"8,950","8,950","9,050"
2018-12-14,,"9,050","9,000","9,000"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"9,000","8,900","9,000"
2018-12-18,,,,
2018-12-19,,"9,270","9,300","9,260"
2018-12-20,,"9,260","9,260","9,340"
2018-12-21,,"9,340","9,120","9,280"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"9,280","9,280","9,260"
2018-12-25,,"9,260","9,200","9,160"
2018-12-26,,"9,160","9,160","9,230"
2018-12-27,,"9,230","9,050","9,300"
2018-12-28,,"9,300","9,290","9,490"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"9,490","9,600","9,600"
2019-01-01,,,,
2019-01-02,,"9,600","9,600","9,560"
2019-01-03,,"9,560","9,540","9,530"
2019-01-04,,"9,530","9,520","9,700"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"9,700","9,780","10,280"
2019-01-08,,"10,280","10,580","10,840"
2019-01-09,,,,
2019-01-10,,"10,840","10,730","10,730"
2019-01-11,,"10,730","10,550","10,590"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"10,590","10,550","10,400"
2019-01-16,,"10,400","10,540","10,600"
2019-01-17,,"10,600","10,600","10,800"
2019-01-18,,"10,800","10,830","11,250"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"11,250","11,400","11,650"
2019-01-22,,"11,650","11,670","11,300"
2019-01-23,,"11,300","11,450","11,480"
2019-01-24,,"11,480","11,350","11,580"
2019-01-25,,"11,580","11,550","11,400"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"11,400","11,330","11,500"
2019-01-29,,"11,500","11,500","11,400"
2019-01-30,,"11,400","11,400","11,300"
2019-01-31,,"11,300","11,150","11,360"
2019-02-01,,"11,360","11,300","11,150"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"11,150","11,160","11,180"
2019-02-05,,"11,180","11,150","11,150"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"11,400","11,440","11,500"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"11,300","11,480","11,250"
2019-02-14,,"11,250","11,210","11,300"
2019-02-15,,"11,300","11,150","11,300"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"11,300","11,300","11,290"
2019-02-19,,"11,290","11,240","11,250"
2019-02-20,,"11,250","11,350","11,240"
2019-02-21,,"11,240","11,230","11,220"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"11,220","11,300","11,140"
2019-02-26,,"11,140","11,200","11,100"
2019-02-27,,"11,100","11,000","11,000"
2019-02-28,,"11,000","10,900","10,950"
2019-03-01,,"10,950","10,940","10,900"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"10,900","10,800","10,790"
