,City Cars,ref,ouverture,cloture
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"11,100","11,100","11,100"
2018-11-23,,"11,100","11,300","11,300"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"11,300","11,500","11,500"
2018-11-27,,"11,500",,
2018-11-28,,"11,500","11,500","11,200"
2018-11-29,,"11,200",,
2018-11-30,,"11,200","11,200","11,200"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"11,200","11,500","11,000"
2018-12-04,,"11,000","11,400","11,400"
2018-12-05,,"11,400","11,400","11,350"
2018-12-06,,"11,350","11,350","11,350"
2018-12-07,,"11,350",,
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"11,350",,
2018-12-11,,"11,350","11,000","11,350"
2018-12-12,,"11,350","11,350","11,350"
2018-12-13,,"11,350","11,010","11,260"
2018-12-14,,"11,260","11,000","11,300"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"11,300",,
2018-12-18,,,,
2018-12-19,,"11,000","11,020","11,300"
2018-12-20,,"11,300","11,300","11,300"
2018-12-21,,"11,300","11,350","11,350"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"11,350","11,350","11,350"
2018-12-25,,"11,350","11,350","11,350"
2018-12-26,,"11,350","11,350","11,350"
2018-12-27,,"11,350","11,330","11,340"
2018-12-28,,"11,340","11,350","11,350"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"11,350","11,350","11,400"
2019-01-01,,,,
2019-01-02,,"11,400","11,350","11,350"
2019-01-03,,"11,350","11,200","11,340"
2019-01-04,,"11,340","11,340","11,340"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"11,340","11,250","11,200"
2019-01-08,,"11,200","11,200","11,000"
2019-01-09,,,,
2019-01-10,,"11,200",,
2019-01-11,,"11,200","11,200","11,200"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"11,200",,
2019-01-16,,"11,200","11,300","11,300"
2019-01-17,,"11,300",,
2019-01-18,,"11,300","11,300","11,300"
2019-01-19,,,,
