,HANNIBAL LEASE,ref,ouverture,cloture
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"7,850",,
2018-11-06,,"7,620","7,620","7,400"
2018-11-07,,"7,400","7,180","7,620"
2018-11-08,,"7,620","7,780","7,780"
2018-11-09,,"7,780","7,770","7,770"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"7,770",,
2018-11-13,,"7,770",,
2018-11-14,,"7,770",,
2018-11-15,,"7,770",,
2018-11-16,,"7,770","7,750","7,750"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"7,750",,
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"7,750",,
2018-11-23,,"7,750",,
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"7,750",,
2018-11-27,,"7,750",,
2018-11-28,,"7,750",,
2018-11-29,,"7,750",,
2018-11-30,,"7,750",,
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"7,750",,
2018-12-04,,"7,750",,
2018-12-05,,"7,750",,
2018-12-06,,"7,750",,
2018-12-07,,"7,750",,
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"7,750",,
2018-12-11,,"7,750","7,600","7,680"
2018-12-12,,"7,680",,
2018-12-13,,"7,680",,
2018-12-14,,"7,680",,
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"7,680","7,450","7,450"
2018-12-18,,,,
2018-12-19,,"7,450",,
2018-12-20,,"7,450",,
2018-12-21,,"7,450",,
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"7,450",,
2018-12-25,,"7,450","7,290","7,300"
2018-12-26,,"7,300","7,300","7,510"
2018-12-27,,"7,510","7,500","7,500"
2018-12-28,,"7,500","7,590","7,590"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"7,590","7,600","7,600"
2019-01-01,,,,
2019-01-02,,"7,600","7,680","7,680"
2019-01-03,,"7,680",,
2019-01-04,,"7,680",,
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"7,680",,
2019-01-08,,"7,680",,
2019-01-09,,,,
2019-01-10,,"7,600","7,380","7,380"
2019-01-11,,"7,380",,
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"7,380",,
2019-01-16,,"7,380","7,500","7,500"
2019-01-17,,"7,500",,
2019-01-18,,"7,500","7,280","7,280"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"7,280",,
2019-01-22,,"7,280",,
2019-01-23,,"7,280",,
2019-01-24,,"7,280",,
2019-01-25,,"7,280",,
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"7,280",,
2019-01-29,,"7,280",,
2019-01-30,,"7,280","7,000","7,280"
2019-01-31,,"7,280",,
2019-02-01,,"7,070","6,870","7,070"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"7,070","7,100","7,280"
2019-02-05,,"7,280","7,490","7,490"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"7,490","7,270","7,490"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"7,500",,
2019-02-14,,"7,500",,
2019-02-15,,"7,500","7,260","7,260"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"7,260",,
2019-02-19,,"7,260",,
2019-02-20,,"7,260","7,260","7,260"
2019-02-21,,"7,260",,
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"7,050",,
