,STAR,ref,ouverture,cloture
2018-07-24,,"147,000","148,000","148,000"
2018-07-25,,,,
2018-07-26,,"148,000","147,990","147,990"
2018-07-27,,"147,990","146,000","147,900"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"147,900","144,000","147,000"
2018-07-31,,"147,000","147,000","145,000"
2018-08-01,,"145,000","146,900","146,900"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"147,000","147,200","147,000"
2018-08-07,,"147,000","147,200","145,600"
2018-08-08,,"145,600","145,000","146,000"
2018-08-09,,"146,000","146,000","141,620"
2018-08-10,,"141,620","142,490","142,000"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"142,000","144,500","138,210"
2018-08-15,,"138,210","142,000","141,990"
2018-08-16,,"141,990","141,980","140,000"
2018-08-17,,"140,000","140,000","141,000"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"141,000","140,000","140,000"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"140,000","140,000","140,000"
2018-08-24,,"140,000","140,000","137,000"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"137,000","136,000","137,020"
2018-08-28,,"137,020","140,000","140,000"
2018-08-29,,"140,000","137,020","137,020"
2018-08-30,,"137,020","137,020","132,910"
2018-08-31,,"132,910","132,000","132,500"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"132,500","132,000","128,100"
2018-09-04,,"128,100","130,990","129,200"
2018-09-05,,,,
2018-09-06,,"133,070","136,890","129,200"
2018-09-07,,"129,200","133,060","135,000"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"138,000","134,000","136,500"
2018-09-13,,"136,500","139,400","139,000"
2018-09-14,,"139,000","143,170","140,000"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"140,000","143,160","136,720"
2018-09-18,,"136,720","140,500","139,000"
