,biat,ref,ouverture,cloture
2018-10-08,,"144,900","144,800","146,750"
2018-10-09,,"146,750","144,100","144,500"
2018-10-10,,"144,500","144,000","144,000"
2018-10-11,,,,
2018-10-12,,"142,000","140,560","139,000"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"139,000","139,000","141,470"
2018-10-17,,"141,470","141,480","140,000"
2018-10-18,,"140,000","141,300","140,000"
2018-10-19,,"140,000","140,900","141,000"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"141,000","141,000","141,000"
2018-10-23,,"141,000","140,000","137,000"
2018-10-24,,"137,000","137,010","132,900"
2018-10-25,,"132,900","132,900","130,000"
2018-10-26,,"130,000","130,000","129,900"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"129,900","129,000","130,000"
2018-10-30,,"130,000","131,000","129,990"
2018-10-31,,"126,100","129,000","128,990"
2018-11-01,,"128,990","128,980","126,000"
2018-11-02,,"126,000","128,000","127,890"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"127,890","130,000","129,800"
2018-11-06,,"129,800","129,700","127,980"
2018-11-07,,"127,980","126,000","128,880"
2018-11-08,,"128,880","128,880","125,020"
2018-11-09,,"125,020","127,020","123,000"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"123,000","120,020","123,000"
2018-11-13,,"123,000","122,500","121,500"
2018-11-14,,"121,500","121,500","121,000"
2018-11-15,,"121,000","120,990","118,000"
2018-11-16,,"118,000","118,000","119,900"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"119,900","121,500","120,000"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"120,000","120,000","119,900"
2018-11-23,,"119,900","119,900","119,000"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"119,000","119,400","118,480"
2018-11-27,,"118,480","118,350","118,480"
2018-11-28,,"118,480","120,000","119,000"
2018-11-29,,"119,000","118,900","118,900"
2018-11-30,,"118,900","118,900","122,460"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"122,460","123,740","129,160"
2018-12-04,,"129,160","132,000","130,000"
2018-12-05,,"130,000","131,310","129,300"
2018-12-06,,"129,300","129,300","129,800"
2018-12-07,,"129,800","129,950","129,300"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"129,300","127,800","121,430"
2018-12-11,,"121,430","124,900","125,000"
2018-12-12,,"125,000","125,000","123,000"
2018-12-13,,"123,000","122,100","123,950"
2018-12-14,,"123,950","123,850","123,950"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"123,950","121,700","122,000"
2018-12-18,,,,
2018-12-19,,"122,990","122,990","123,000"
2018-12-20,,"123,000","122,990","121,800"
2018-12-21,,"121,800","121,700","121,020"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"121,020","121,000","119,000"
2018-12-25,,"119,000","119,800","118,550"
2018-12-26,,"118,550","118,550","120,000"
2018-12-27,,"120,000","120,000","119,990"
2018-12-28,,"119,990","120,000","120,210"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"120,210","121,100","119,500"
2019-01-01,,,,
2019-01-02,,"119,500","119,490","118,000"
2019-01-03,,"118,000","120,000","117,850"
2019-01-04,,"117,850","117,990","117,000"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"117,000","117,000","114,010"
2019-01-08,,"114,010","117,300","115,000"
2019-01-09,,,,
2019-01-10,,"112,010","112,010","110,990"
2019-01-11,,"110,990","111,020","113,000"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"113,000","112,990","112,300"
2019-01-16,,"112,300","112,300","115,660"
2019-01-17,,"115,660","117,500","119,500"
2019-01-18,,"119,500","119,810","122,000"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"122,000","121,990","121,980"
2019-01-22,,"121,980","121,980","122,000"
2019-01-23,,"122,000","121,900","120,400"
2019-01-24,,"120,400","120,400","118,000"
2019-01-25,,"118,000","121,090","119,000"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"119,000","119,100","119,000"
2019-01-29,,"119,000","121,000","120,990"
2019-01-30,,"120,990","120,000","120,000"
2019-01-31,,"120,000","120,880","120,000"
2019-02-01,,"120,000","120,000","119,750"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"119,750","120,000","119,750"
2019-02-05,,"119,750","119,020","118,100"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"116,000","116,000","116,000"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"113,000","114,000","115,000"
2019-02-14,,"115,000","116,900","115,000"
