,EURO-CYLES,ref,ouverture,cloture
2019-08-14,,"15,290","15,200","15,390"
2019-08-15,,"15,390","15,430","15,430"
2019-08-16,,"15,430","15,200","15,380"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"15,380","15,440","15,390"
2019-08-20,,"15,390","15,380","15,330"
2019-08-21,,"15,330","15,100","15,300"
2019-08-22,,"15,300","15,330","15,550"
2019-08-23,,"15,550","15,690","15,650"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"15,650","15,640","15,600"
2019-08-27,,"15,600","15,590","15,130"
2019-08-28,,"15,130","15,550","15,130"
2019-08-29,,"15,130","15,300","15,200"
2019-08-30,,"15,200","15,010","15,030"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"15,030","15,400","15,190"
2019-09-03,,"15,190","14,950","14,770"
2019-09-04,,"14,770","15,100","15,050"
2019-09-05,,"15,050","15,100","15,050"
2019-09-06,,"15,050","15,100","15,000"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"14,800","14,890","14,860"
2019-09-12,,"14,860","14,860","14,800"
2019-09-13,,"14,800","14,890","14,880"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"14,880","14,880","14,850"
2019-09-17,,"14,850","14,700","14,500"
2019-09-18,,"14,500","14,500","14,480"
2019-09-19,,"14,480","14,780","14,400"
2019-09-20,,"14,400","14,400","14,300"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"14,300","14,250","14,000"
2019-09-24,,"14,000","14,350","13,800"
2019-09-25,,"13,800","13,800","13,550"
2019-09-26,,"13,550","13,540","13,750"
2019-09-27,,"13,750","13,790","13,650"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"13,650","13,850","14,190"
2019-10-01,,"14,190","14,820","15,050"
2019-10-02,,"15,050","15,500","15,270"
2019-10-03,,"15,270","15,300","15,050"
2019-10-04,,"15,050","14,600","15,020"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"15,020","15,440","14,890"
2019-10-08,,"14,890","14,880","15,130"
2019-10-09,,"15,130","15,130","15,000"
2019-10-10,,"15,000","15,450","15,740"
2019-10-11,,"15,740","15,780","16,100"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"16,100","16,570","16,080"
2019-10-15,,,,
2019-10-16,,"16,080","16,080","15,840"
2019-10-17,,"15,840","16,000","16,210"
2019-10-18,,"16,210","16,200","16,250"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"16,250","16,480","16,390"
2019-10-22,,"16,390","16,450","16,580"
2019-10-23,,"16,580","16,580","16,600"
2019-10-24,,"16,600","17,090","17,600"
2019-10-25,,"17,610","18,130","18,630"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"18,630","18,700","19,010"
2019-10-29,,"19,010","19,020","18,500"
2019-10-30,,"18,500","18,400","17,690"
2019-10-31,,"17,580","17,580","18,150"
2019-11-01,,"18,150","18,150","17,900"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"17,900","17,700","17,940"
2019-11-05,,"17,940","17,920","18,230"
2019-11-06,,"18,230","18,250","18,500"
2019-11-07,,"18,500","18,500","18,900"
2019-11-08,,"18,900","19,200","19,200"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"19,200","19,210","19,000"
2019-11-12,,"19,000","19,340","19,130"
2019-11-13,,"19,130","19,000","19,150"
2019-11-14,,"19,150","19,300","19,200"
2019-11-15,,"19,200","19,200","19,000"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"19,000","19,000","18,880"
2019-11-19,,"18,880","18,800","18,990"
2019-11-20,,"18,990","18,850","18,880"
2019-11-21,,"18,880","18,760","18,700"
2019-11-22,,"18,700","18,880","18,750"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"18,750","18,550","18,690"
2019-11-26,,"18,690","18,400","18,600"
2019-11-27,,"18,600","18,900","18,560"
2019-11-28,,"18,560","18,550","18,550"
2019-11-29,,"18,550","18,800","18,740"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"18,740","18,960","18,850"
2019-12-03,,"18,850","18,840","18,790"
2019-12-04,,"18,790","18,750","18,700"
2019-12-05,,"18,700","18,730","18,650"
2019-12-06,,"18,650","18,570","18,750"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"18,750","18,900","18,880"
2019-12-10,,"18,880","18,900","18,800"
2019-12-11,,"18,800","18,700","18,780"
2019-12-12,,"18,780","18,780","18,770"
2019-12-13,,"18,770","18,570","18,740"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"18,740","18,740","18,730"
2019-12-17,,"18,730","18,740","18,500"
2019-12-18,,"18,500","18,720","18,700"
2019-12-19,,"18,700","18,840","18,600"
2019-12-20,,"18,600","18,520","18,500"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"18,500","18,600","18,600"
2019-12-24,,"18,600","18,600","18,500"
2019-12-25,,"18,500","18,490","18,600"
2019-12-26,,"18,600","18,650","18,590"
2019-12-27,,"18,590","18,490","18,760"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"18,760","18,700","18,690"
2019-12-31,,"18,690","18,700","18,840"
2020-01-01,,,,
2020-01-02,,"18,840","19,000","18,840"
2020-01-03,,"18,840","18,800","18,750"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"18,750","18,880","19,100"
2020-01-07,,"19,100","19,110","18,750"
2020-01-08,,"18,750","18,750","18,900"
2020-01-09,,"18,900","19,000","18,970"
2020-01-10,,"18,970","18,970","18,960"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"18,960","19,000","19,000"
2020-01-14,,,,
2020-01-15,,"19,000","19,400","19,290"
2020-01-16,,"19,290","19,290","20,440"
2020-01-17,,"20,440","20,590","20,180"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"20,180","20,190","20,000"
2020-01-21,,"20,000","20,200","19,900"
2020-01-22,,"19,900","20,000","20,190"
2020-01-23,,"20,190","20,190","20,290"
2020-01-24,,"20,290","20,500","20,390"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"20,390","20,390","20,500"
2020-01-28,,"20,500","20,400","20,300"
2020-01-29,,"20,300","20,400","20,400"
2020-01-30,,"20,400","20,400","20,400"
2020-01-31,,"20,400","20,500","20,800"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"20,800","20,890","21,000"
2020-02-04,,"21,000","21,190","21,230"
2020-02-05,,"21,230","21,210","21,650"
2020-02-06,,"21,650","21,600","21,400"
2020-02-07,,"21,400","21,330","21,390"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"21,390","21,390","21,000"
2020-02-11,,"21,000","21,000","20,850"
2020-02-12,,"20,850","21,010","21,000"
2020-02-13,,"21,000","21,000","21,500"
2020-02-14,,"21,500","21,500","21,890"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"21,650","21,790","21,650"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
