,UDAH,ref,ouverture,cloture
2019-03-05,,"1,500","1,460","1,460"
2019-03-06,,"1,460","1,420","1,500"
2019-03-07,,"1,500",,
2019-03-08,,"1,500",,
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"1,500","1,490","1,490"
2019-03-12,,"1,490","1,500","1,450"
2019-03-13,,"1,450","1,450","1,450"
2019-03-14,,"1,450","1,410","1,410"
2019-03-15,,"1,410","1,410","1,410"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"1,410","1,390","1,370"
2019-03-19,,"1,370","1,340","1,410"
2019-03-20,,,,
2019-03-21,,"1,410","1,350","1,400"
2019-03-22,,"1,400","1,370","1,370"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"1,370","1,400","1,400"
2019-03-26,,"1,400","1,360","1,390"
2019-03-27,,"1,390","1,400","1,390"
2019-03-28,,,,
2019-03-29,,"1,360","1,320","1,350"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"1,350","1,310","1,340"
2019-04-02,,"1,340","1,370","1,370"
2019-04-03,,"1,370","1,370","1,370"
2019-04-04,,"1,370","1,360","1,350"
2019-04-05,,"1,350","1,360","1,330"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"1,330","1,330","1,330"
2019-04-09,,,,
2019-04-10,,"1,330","1,330","1,330"
2019-04-11,,"1,330","1,330","1,320"
2019-04-12,,"1,320","1,290","1,330"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"1,330","1,320","1,300"
2019-04-16,,"1,300","1,330","1,330"
2019-04-17,,"1,330","1,290","1,330"
2019-04-18,,"1,330",,
2019-04-19,,"1,330","1,280","1,320"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"1,280","1,320","1,250"
2019-04-23,,"1,250","1,220","1,250"
2019-04-24,,"1,250","1,250","1,240"
2019-04-25,,"1,240","1,230","1,310"
2019-04-26,,"1,310","1,320","1,340"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"1,340","1,300","1,300"
2019-04-30,,"1,300","1,320","1,300"
2019-05-01,,,,
2019-05-02,,"1,300","1,330","1,300"
2019-05-03,,"1,300","1,290","1,290"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"1,290","1,260","1,260"
2019-05-07,,"1,260","1,290","1,290"
2019-05-08,,"1,290","1,250","1,240"
2019-05-09,,"1,240","1,270","1,230"
