,SIMPAR,ref,ouverture,cloture
2019-06-18,,"32,320",,
2019-06-19,,"32,320","32,300","32,300"
2019-06-20,,"32,300",,
2019-06-21,,"32,300","32,320","32,320"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"32,320",,
2019-06-25,,"32,320","32,350","32,350"
2019-06-26,,"32,350",,
2019-06-27,,"32,350",,
2019-06-28,,"32,350",,
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"32,350",,
2019-07-02,,"32,350","32,000","32,000"
2019-07-03,,"32,000",,
2019-07-04,,"32,000",,
2019-07-05,,"32,000","31,400","32,000"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"32,000",,
2019-07-09,,"32,000",,
2019-07-10,,"32,000",,
2019-07-11,,"32,000",,
2019-07-12,,"32,000",,
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"32,000",,
2019-07-16,,"32,000","32,960","32,960"
2019-07-17,,"32,960",,
2019-07-18,,"32,960",,
2019-07-19,,"32,960",,
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"32,960",,
2019-07-23,,"32,960",,
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"32,900",,
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"32,900",,
2019-07-31,,"32,900",,
2019-08-01,,"32,900",,
2019-08-02,,"32,900",,
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"32,900",,
2019-08-06,,"32,900",,
2019-08-07,,"32,900",,
2019-08-08,,"32,900",,
2019-08-09,,"32,900",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"32,900",,
2019-08-15,,"32,900",,
2019-08-16,,"32,900",,
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"32,900",,
2019-08-20,,"32,900",,
2019-08-21,,"32,900","32,900","32,960"
2019-08-22,,"32,960",,
2019-08-23,,"32,960",,
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"32,960",,
2019-08-27,,"32,960",,
2019-08-28,,"32,960",,
2019-08-29,,"32,960",,
2019-08-30,,"32,960","32,000","32,960"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"32,960",,
2019-09-03,,"32,960",,
2019-09-04,,"32,960",,
2019-09-05,,"32,960",,
2019-09-06,,"32,960",,
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"32,960",,
2019-09-12,,"32,960",,
2019-09-13,,"32,960",,
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"32,960",,
2019-09-17,,"32,960",,
2019-09-18,,"32,960",,
2019-09-19,,"32,960",,
2019-09-20,,"32,960","32,000","32,000"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"32,000","32,000","32,000"
2019-09-24,,"32,000",,
2019-09-25,,"32,000",,
2019-09-26,,"32,000","31,500","31,510"
