,TIL,ref,ouverture,cloture
2018-11-21,,,,
2018-11-22,,"17,420","16,950","16,900"
2018-11-23,,"16,900","17,360","17,360"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"17,360","17,360","17,480"
2018-11-27,,"17,480",,
2018-11-28,,"17,480","17,460","17,450"
2018-11-29,,"17,450","17,310","17,300"
2018-11-30,,"17,300",,
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"17,300",,
2018-12-04,,"17,300","16,900","16,800"
2018-12-05,,"16,800",,
2018-12-06,,"16,800","16,990","16,990"
2018-12-07,,"16,990","16,600","16,850"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"16,850","17,200","16,590"
2018-12-11,,"16,590","16,440","16,550"
2018-12-12,,"16,550","16,560","16,600"
2018-12-13,,"16,600","16,550","16,550"
2018-12-14,,"16,550",,
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"16,550",,
2018-12-18,,,,
2018-12-19,,"16,300","16,540","16,540"
2018-12-20,,"16,540","16,550","16,520"
2018-12-21,,"16,520","16,450","16,450"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"16,450","16,500","16,500"
2018-12-25,,"16,500",,
2018-12-26,,"16,500","16,600","16,590"
2018-12-27,,"16,590","16,400","16,500"
2018-12-28,,"16,500","16,590","16,590"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"16,590","16,590","16,590"
2019-01-01,,,,
2019-01-02,,"16,590","16,100","16,100"
2019-01-03,,"16,100","16,100","16,100"
2019-01-04,,"16,100","15,750","16,350"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"16,350","16,350","16,350"
2019-01-08,,"16,350","16,010","16,000"
2019-01-09,,,,
2019-01-10,,"15,850","15,860","16,300"
2019-01-11,,"16,300",,
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"16,300","16,430","16,430"
2019-01-16,,"16,430","16,420","16,430"
2019-01-17,,"16,430",,
2019-01-18,,"16,430",,
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"16,430",,
2019-01-22,,"16,430","15,950","15,950"
2019-01-23,,"15,950","16,450","15,240"
2019-01-24,,"15,240","15,240","15,030"
2019-01-25,,"15,030",,
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"15,030","15,400","15,400"
2019-01-29,,"15,400",,
2019-01-30,,"15,400",,
2019-01-31,,"15,400",,
2019-02-01,,"15,400",,
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"15,400",,
2019-02-05,,"15,400","15,040","15,400"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"15,690",,
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"15,690",,
2019-02-14,,"15,690",,
