,ATL,ref,ouverture,cloture
2018-11-04,,,,
2018-11-05,,"2,800","2,800","2,800"
2018-11-06,,"2,800","2,800","2,760"
2018-11-07,,"2,760","2,800","2,780"
2018-11-08,,"2,780","2,780","2,800"
2018-11-09,,"2,800","2,800","2,800"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"2,800",,
2018-11-13,,"2,800",,
2018-11-14,,"2,800","2,800","2,800"
2018-11-15,,"2,800","2,800","2,800"
2018-11-16,,"2,800","2,770","2,750"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"2,750","2,700","2,770"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"2,770","2,770","2,770"
2018-11-23,,"2,770","2,770","2,770"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"2,770","2,760","2,770"
2018-11-27,,"2,770","2,770","2,700"
2018-11-28,,"2,700","2,700","2,700"
2018-11-29,,"2,700","2,700","2,700"
2018-11-30,,"2,700","2,680","2,700"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"2,700","2,700","2,700"
2018-12-04,,"2,700","2,700","2,700"
2018-12-05,,"2,700","2,650","2,660"
2018-12-06,,"2,660","2,670","2,690"
2018-12-07,,"2,690","2,680","2,650"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"2,650","2,700","2,600"
2018-12-11,,"2,600","2,650","2,650"
2018-12-12,,"2,650",,
2018-12-13,,"2,650","2,680","2,700"
2018-12-14,,"2,700",,
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"2,700","2,700","2,680"
2018-12-18,,,,
2018-12-19,,"2,640","2,650","2,650"
2018-12-20,,"2,650","2,640","2,620"
2018-12-21,,"2,620",,
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"2,620","2,650","2,650"
2018-12-25,,"2,650","2,640","2,640"
2018-12-26,,"2,640","2,630","2,650"
2018-12-27,,"2,650","2,650","2,650"
2018-12-28,,"2,650","2,690","2,670"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"2,670","2,690","2,690"
2019-01-01,,,,
2019-01-02,,"2,690","2,650","2,630"
2019-01-03,,"2,630","2,650","2,690"
2019-01-04,,"2,690","2,670","2,690"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"2,690","2,660","2,680"
2019-01-08,,"2,680","2,690","2,670"
2019-01-09,,,,
2019-01-10,,"2,670","2,650","2,670"
2019-01-11,,"2,670","2,670","2,650"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"2,650","2,670","2,650"
2019-01-16,,"2,650","2,650","2,620"
2019-01-17,,"2,620","2,620","2,590"
2019-01-18,,"2,590","2,590","2,630"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"2,630","2,610","2,580"
2019-01-22,,"2,580","2,600","2,510"
2019-01-23,,"2,510","2,500","2,430"
2019-01-24,,"2,430","2,410","2,340"
2019-01-25,,"2,340","2,400","2,400"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"2,400","2,400","2,400"
2019-01-29,,"2,400","2,430","2,430"
2019-01-30,,"2,430","2,400","2,430"
2019-01-31,,"2,430","2,400","2,400"
2019-02-01,,"2,400","2,400","2,330"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"2,330","2,330","2,320"
2019-02-05,,"2,320","2,320","2,320"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"2,310",,
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"2,300","2,300","2,300"
2019-02-14,,"2,300","2,300","2,350"
2019-02-15,,"2,350","2,350","2,300"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"2,300","2,350","2,290"
2019-02-19,,"2,290","2,340","2,290"
2019-02-20,,"2,290",,
2019-02-21,,"2,290","2,290","2,250"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"2,250","2,230","2,250"
2019-02-26,,"2,250","2,270","2,290"
2019-02-27,,"2,290","2,250","2,240"
2019-02-28,,"2,240","2,230","2,210"
2019-03-01,,"2,210","2,210","2,210"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"2,210","2,260","2,260"
2019-03-05,,"2,260","2,260","2,240"
2019-03-06,,"2,240","2,180","2,180"
2019-03-07,,"2,180","2,190","2,180"
2019-03-08,,"2,180",,
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"2,180",,
2019-03-12,,"2,180",,
2019-03-13,,"2,180","2,240","2,200"
2019-03-14,,"2,200","2,200","2,200"
2019-03-15,,"2,200","2,180","2,190"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"2,190","2,170","2,170"
2019-03-19,,"2,170","2,140","2,140"
2019-03-20,,,,
2019-03-21,,"2,140","2,120","2,150"
2019-03-22,,"2,150","2,160","2,150"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"2,150",,
2019-03-26,,"2,150","2,170","2,180"
2019-03-27,,"2,180","2,140","2,140"
2019-03-28,,,,
2019-03-29,,"2,130","2,190","2,250"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"2,250","2,300","2,250"
2019-04-02,,"2,250","2,200","2,200"
2019-04-03,,"2,200","2,190","2,170"
2019-04-04,,"2,170","2,220","2,180"
2019-04-05,,"2,180","2,160","2,180"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"2,180","2,160","2,160"
2019-04-09,,,,
2019-04-10,,"2,160","2,160","2,160"
2019-04-11,,"2,160","2,170","2,160"
2019-04-12,,"2,160","2,160","2,150"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"2,150","2,140","2,140"
2019-04-16,,"2,140","2,120","2,130"
2019-04-17,,"2,130","2,130","2,150"
2019-04-18,,"2,150","2,150","2,150"
2019-04-19,,"2,150","2,150","2,140"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"2,140",,
2019-04-23,,"2,140","2,120","2,130"
2019-04-24,,"2,130","2,140","2,170"
2019-04-25,,"2,170","2,150","2,150"
2019-04-26,,"2,150","2,140","2,150"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"2,150","2,130","2,100"
2019-04-30,,"2,100","2,100","2,040"
2019-05-01,,,,
2019-05-02,,"2,040","2,040","2,000"
2019-05-03,,"2,000","2,000","1,960"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"1,960",,
2019-05-07,,"1,960","1,970","1,970"
2019-05-08,,"1,970","1,970","1,970"
2019-05-09,,"1,970","1,950","1,940"
2019-05-10,,"1,940","1,920","1,920"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"1,920","1,900","1,900"
2019-05-14,,"1,900","1,930","1,900"
2019-05-15,,"1,900","1,900","1,900"
2019-05-16,,"1,900","1,920","1,900"
2019-05-17,,"1,900","1,900","1,900"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"1,900","1,900","1,900"
2019-05-21,,"1,900","1,890","1,860"
2019-05-22,,"1,860","1,860","1,820"
2019-05-23,,"1,820","1,820","1,800"
2019-05-24,,"1,800","1,850","1,860"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"1,860","1,810","1,860"
2019-05-28,,"1,860","1,910","1,860"
2019-05-29,,"1,860","1,850","1,850"
2019-05-30,,"1,850","1,900","1,850"
2019-05-31,,"1,850","1,850","1,850"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"1,850","1,850","1,900"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"1,900","1,950","1,950"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"1,950","1,950","1,900"
2019-06-11,,,,
2019-06-12,,"1,850","1,850","1,820"
2019-06-13,,"1,820","1,810","1,860"
2019-06-14,,"1,860","1,820","1,800"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"1,800","1,800","1,850"
2019-06-18,,"1,850","1,900","1,900"
2019-06-19,,"1,900","1,970","1,880"
2019-06-20,,"1,880","1,880","1,880"
2019-06-21,,"1,880","1,880","1,880"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"1,880","1,930","1,900"
2019-06-25,,"1,900","1,900","1,900"
2019-06-26,,"1,900","1,900","1,900"
2019-06-27,,"1,900","1,900","1,930"
2019-06-28,,"1,930","1,910","1,900"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"1,700","1,770","1,740"
2019-07-02,,"1,740","1,790","1,740"
2019-07-03,,"1,740","1,790","1,740"
2019-07-04,,"1,740","1,720","1,730"
2019-07-05,,"1,730","1,740","1,700"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"1,700","1,750","1,750"
2019-07-09,,"1,750","1,740","1,740"
2019-07-10,,"1,740","1,700","1,750"
2019-07-11,,"1,750","1,710","1,700"
2019-07-12,,"1,700","1,700","1,740"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"1,740","1,690","1,690"
2019-07-16,,"1,690","1,690","1,680"
2019-07-17,,"1,680","1,700","1,680"
2019-07-18,,"1,680","1,700","1,700"
2019-07-19,,"1,700","1,700","1,680"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"1,680","1,650","1,650"
2019-07-23,,"1,650","1,650","1,650"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"1,650","1,650","1,650"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"1,640","1,680","1,650"
2019-07-31,,"1,650","1,680","1,680"
2019-08-01,,"1,680","1,680","1,650"
2019-08-02,,"1,650","1,650","1,650"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"1,650","1,680","1,650"
2019-08-06,,"1,650","1,650","1,650"
2019-08-07,,"1,650","1,650","1,630"
2019-08-08,,"1,630","1,650","1,650"
2019-08-09,,"1,650",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"1,650","1,650","1,650"
2019-08-15,,"1,650","1,650","1,650"
2019-08-16,,"1,650","1,640","1,630"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"1,630","1,630","1,630"
2019-08-20,,"1,630","1,630","1,630"
2019-08-21,,"1,630","1,650","1,630"
2019-08-22,,"1,630","1,660","1,660"
2019-08-23,,"1,660","1,660","1,660"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"1,660","1,660","1,660"
2019-08-27,,"1,660","1,660","1,620"
2019-08-28,,"1,620","1,620","1,640"
2019-08-29,,"1,640","1,610","1,650"
2019-08-30,,"1,650","1,690","1,650"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"1,650","1,690","1,690"
2019-09-03,,"1,690","1,750","1,650"
2019-09-04,,"1,650","1,630","1,630"
2019-09-05,,"1,630","1,630","1,610"
2019-09-06,,"1,610","1,630","1,650"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"1,640","1,640","1,640"
2019-09-12,,"1,640","1,640","1,640"
2019-09-13,,"1,640","1,640","1,630"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"1,630","1,630","1,630"
2019-09-17,,"1,630","1,630","1,630"
2019-09-18,,"1,630","1,610","1,630"
2019-09-19,,"1,630","1,620","1,670"
2019-09-20,,"1,670","1,670","1,660"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"1,660","1,660","1,660"
2019-09-24,,"1,660","1,660","1,620"
2019-09-25,,"1,620","1,620","1,640"
2019-09-26,,"1,640","1,610","1,650"
2019-09-27,,"1,650","1,680","1,680"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"1,680","1,650","1,650"
