,ENNAKL,ref,ouverture,cloture
2019-03-07,,"11,990","11,950","11,990"
2019-03-08,,"11,990","11,990","11,990"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"11,990","11,950","11,990"
2019-03-12,,"11,990","11,970","11,990"
2019-03-13,,"11,990","11,970","11,980"
2019-03-14,,"11,980","11,980","11,980"
2019-03-15,,"11,980","11,980","11,990"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"11,990","11,990","11,990"
2019-03-19,,"11,990","11,700","11,950"
2019-03-20,,,,
2019-03-21,,"11,950","11,950","11,950"
2019-03-22,,"11,950","11,950","11,950"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"11,950","11,900","11,950"
2019-03-26,,"11,950","11,940","11,950"
2019-03-27,,"11,950","11,950","11,940"
2019-03-28,,,,
2019-03-29,,"11,950","11,950","11,950"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"11,950","11,950","11,950"
2019-04-02,,"11,950","11,950","11,940"
2019-04-03,,"11,940",,
2019-04-04,,"11,940","11,610","11,600"
2019-04-05,,"11,600","11,500","11,610"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"11,610",,
2019-04-09,,,,
2019-04-10,,"11,610","11,600","11,610"
2019-04-11,,"11,610","11,610","11,610"
2019-04-12,,"11,610","11,610","11,610"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"11,610","11,940","11,650"
2019-04-16,,"11,650","11,930","11,920"
2019-04-17,,"11,920","11,920","11,920"
2019-04-18,,"11,920","11,920","11,900"
2019-04-19,,"11,900","11,700","11,920"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"11,920","11,700","11,900"
2019-04-23,,"11,900","11,900","11,900"
2019-04-24,,"11,900","11,890","11,890"
2019-04-25,,"11,890","11,890","11,890"
2019-04-26,,"11,890","11,700","11,880"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"11,880","11,700","11,880"
2019-04-30,,"11,880","11,800","11,800"
2019-05-01,,,,
2019-05-02,,"11,800","11,700","11,800"
2019-05-03,,"11,800","11,800","11,800"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"11,800","11,790","11,790"
2019-05-07,,"11,790","11,780","11,780"
2019-05-08,,"11,780","11,750","11,760"
2019-05-09,,"11,760","11,780","11,700"
2019-05-10,,"11,700","11,700","11,600"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"11,600","11,600","11,600"
2019-05-14,,"11,600","11,600","11,600"
2019-05-15,,"11,600","11,690","11,700"
2019-05-16,,"11,700","11,650","11,680"
2019-05-17,,"11,680","11,680","11,400"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"11,400","11,400","11,400"
2019-05-21,,"11,400","11,400","11,400"
2019-05-22,,"11,400","11,400","11,400"
2019-05-23,,"11,400","11,400","11,400"
2019-05-24,,"11,400","11,150","11,400"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"11,400","11,680","11,680"
2019-05-28,,"11,680","11,680","11,680"
2019-05-29,,"11,680","11,680","11,680"
2019-05-30,,"11,680","11,750","11,800"
2019-05-31,,"11,800","11,900","11,900"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"11,900","12,250","12,250"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"12,250","12,250","12,250"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"12,250","12,250","12,250"
2019-06-11,,,,
2019-06-12,,"12,100","12,200","12,000"
2019-06-13,,"12,000","12,000","12,000"
2019-06-14,,"12,000","11,820","12,000"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"12,000","11,750","11,870"
2019-06-18,,"11,870","11,870","11,790"
2019-06-19,,"11,790","11,870","11,900"
2019-06-20,,"11,900","11,900","11,900"
2019-06-21,,"11,900","11,700","11,950"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"11,950",,
2019-06-25,,"11,950","11,950","11,950"
2019-06-26,,"11,950","11,950","11,950"
2019-06-27,,"11,950",,
2019-06-28,,"11,950","11,940","11,950"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"11,950","11,900","11,900"
2019-07-02,,"11,900","11,950","11,950"
2019-07-03,,"11,950",,
2019-07-04,,"11,950","12,200","11,900"
2019-07-05,,"11,900","11,900","12,000"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"12,000","12,200","12,200"
2019-07-09,,"12,200","12,100","12,200"
2019-07-10,,"12,200","12,200","12,200"
2019-07-11,,"12,200","12,200","12,200"
2019-07-12,,"12,200",,
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"12,200","11,990","11,990"
2019-07-16,,"11,990","11,990","12,000"
2019-07-17,,"12,000","12,000","12,000"
2019-07-18,,"12,000","12,000","11,900"
2019-07-19,,"11,900","12,000","12,000"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"12,000",,
2019-07-23,,"12,000","11,950","12,000"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"12,000","12,000","12,000"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"11,900","12,000","11,900"
2019-07-31,,"11,900","11,980","11,980"
2019-08-01,,"11,980","11,800","11,980"
2019-08-02,,"11,980","11,980","12,000"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"12,000","11,950","12,000"
2019-08-06,,"12,000","12,000","11,900"
2019-08-07,,"11,900","12,250","12,250"
2019-08-08,,"11,670","12,020","12,020"
2019-08-09,,"12,020","11,900","11,900"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"11,900","12,000","11,900"
2019-08-15,,"11,900","12,000","12,000"
2019-08-16,,"12,000","12,000","12,000"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"12,000","12,000","11,950"
2019-08-20,,"11,950","12,000","11,900"
2019-08-21,,"11,900","11,900","12,000"
2019-08-22,,"12,000","11,800","11,950"
2019-08-23,,"11,950","11,950","11,950"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"11,950","11,950","11,950"
2019-08-27,,"11,950","11,950","11,960"
2019-08-28,,"11,960","11,610","11,950"
2019-08-29,,"11,950","11,950","11,950"
2019-08-30,,"11,950","11,950","11,950"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"11,950","11,900","12,150"
2019-09-03,,"12,150","12,150","12,000"
2019-09-04,,"12,000","12,000","12,000"
2019-09-05,,"12,000","12,000","12,000"
2019-09-06,,"12,000","12,150","12,150"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"11,980","12,000","11,950"
2019-09-12,,"11,950","11,950","11,950"
2019-09-13,,"11,950","11,970","11,970"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"11,970","11,970","11,970"
2019-09-17,,"11,970","11,970","11,970"
2019-09-18,,"11,970","11,970","11,970"
2019-09-19,,"11,970","11,900","12,000"
2019-09-20,,"12,000","12,000","11,950"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"11,950","12,000","12,000"
2019-09-24,,"12,000","12,000","12,000"
2019-09-25,,"12,000","12,000","11,990"
2019-09-26,,"11,990","11,980","11,990"
2019-09-27,,"11,990","11,990","11,990"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"11,990","11,990","11,900"
2019-10-01,,"11,900","11,990","11,990"
2019-10-02,,"11,990","11,950","11,950"
2019-10-03,,"11,950","11,900","11,900"
2019-10-04,,"11,900","11,900","11,950"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"11,950","11,950","11,900"
2019-10-08,,"11,900","11,900","11,900"
2019-10-09,,"11,900","11,900","11,900"
2019-10-10,,"11,900","11,900","11,900"
2019-10-11,,"11,900","11,900","11,890"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"11,890","11,900","11,890"
2019-10-15,,,,
2019-10-16,,"11,890","11,880","11,880"
2019-10-17,,"11,880","11,880","11,880"
2019-10-18,,"11,880","11,890","11,880"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"11,880","11,880","11,880"
2019-10-22,,"11,880","11,850","11,850"
2019-10-23,,"11,850",,
2019-10-24,,"11,850","11,850","11,850"
2019-10-25,,"11,850","11,850","11,850"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"11,850","11,840","11,850"
2019-10-29,,"11,850","11,850","11,850"
2019-10-30,,"11,850","11,890","11,500"
2019-10-31,,"11,500","11,500","11,500"
2019-11-01,,"11,500","11,500","11,400"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"11,400","11,300","11,700"
2019-11-05,,"11,700","12,000","11,700"
2019-11-06,,"11,700","11,700","11,700"
2019-11-07,,"11,700","11,700","11,650"
2019-11-08,,"11,650","11,650","11,650"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"11,650","11,700","11,700"
2019-11-12,,"11,700","11,700","11,700"
2019-11-13,,"11,700","11,900","11,900"
2019-11-14,,"11,900","11,900","11,900"
2019-11-15,,"11,900","11,790","11,890"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"11,890","11,890","11,890"
2019-11-19,,"11,890","11,850","11,850"
2019-11-20,,"11,850","11,850","11,850"
2019-11-21,,"11,850","11,800","11,750"
2019-11-22,,"11,750","11,800","11,750"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"11,750","11,450","11,500"
2019-11-26,,"11,500","11,600","11,600"
2019-11-27,,"11,600","11,600","11,600"
2019-11-28,,"11,600","11,600","11,600"
2019-11-29,,"11,600","11,600","11,600"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"11,600","11,600","11,500"
2019-12-03,,"11,500","11,600","11,600"
2019-12-04,,"11,600","11,500","11,500"
2019-12-05,,"11,500","11,490","11,490"
2019-12-06,,"11,490","11,490","11,450"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"11,450","11,400","11,350"
2019-12-10,,"11,350","11,490","11,490"
2019-12-11,,"11,490","11,150","11,100"
2019-12-12,,"11,100","11,150","11,000"
2019-12-13,,"11,000","11,000","11,000"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"11,000","11,000","10,980"
2019-12-17,,"10,980","11,000","11,150"
2019-12-18,,"11,150","11,300","11,250"
2019-12-19,,"11,250","11,400","11,700"
2019-12-20,,"11,700","11,890","12,000"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"12,000","12,000","12,000"
2019-12-24,,"12,000","12,000","12,000"
2019-12-25,,"12,000","11,800","11,990"
2019-12-26,,"11,990","12,000","12,000"
2019-12-27,,"12,000","12,000","12,000"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"12,000","12,000","12,000"
2019-12-31,,"12,000","12,000","12,000"
2020-01-01,,,,
2020-01-02,,"12,000","11,990","11,990"
2020-01-03,,"11,990","12,000","11,990"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"11,990","12,000","11,900"
2020-01-07,,"11,900","11,900","11,900"
2020-01-08,,"11,900","11,800","11,800"
2020-01-09,,"11,800","11,800","11,800"
2020-01-10,,"11,800","11,800","11,780"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"11,780","11,800","11,740"
2020-01-14,,,,
2020-01-15,,"11,740","11,700","11,650"
2020-01-16,,"11,650","11,590","11,600"
2020-01-17,,"11,600","11,650","11,650"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"11,650","11,650","11,650"
2020-01-21,,"11,650","11,800","11,800"
2020-01-22,,"11,800",,
2020-01-23,,"11,800","11,500","11,800"
2020-01-24,,"11,800","11,800","11,600"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"11,600","11,350","11,800"
2020-01-28,,"11,800","11,460","11,800"
2020-01-29,,"11,800","11,790","11,800"
2020-01-30,,"11,800",,
2020-01-31,,"11,800","11,600","11,990"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"11,990","12,000","11,990"
2020-02-04,,"11,990","11,970","11,990"
2020-02-05,,"11,990","11,990","11,990"
2020-02-06,,"11,990","11,990","11,990"
2020-02-07,,"11,990","11,990","11,990"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"11,990","12,000","11,900"
2020-02-11,,"11,900","11,700","11,990"
2020-02-12,,"11,990","11,800","11,700"
2020-02-13,,"11,700","11,630","11,800"
2020-02-14,,"11,800","11,990","11,700"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"11,900",,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"11,800","11,500","11,900"
2020-03-06,,"11,900","11,900","11,900"
2020-03-07,,,,
2020-03-08,,,,
