,ESSOUKNA,ref,ouverture,cloture
2018-09-28,,"2,640","2,680","2,680"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"2,680","2,680","2,600"
2018-10-02,,"2,600","2,600","2,600"
2018-10-03,,"2,600",,
2018-10-04,,"2,600","2,580","2,580"
2018-10-05,,"2,580","2,600","2,580"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"2,580","2,560","2,560"
2018-10-09,,"2,560","2,600","2,600"
2018-10-10,,"2,600","2,570","2,590"
2018-10-11,,,,
2018-10-12,,"2,530","2,500","2,490"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"2,490","2,470","2,430"
2018-10-17,,"2,430","2,420","2,480"
2018-10-18,,"2,480","2,460","2,480"
2018-10-19,,"2,480","2,480","2,470"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"2,470","2,400","2,470"
2018-10-23,,"2,470","2,400","2,470"
2018-10-24,,"2,470","2,470","2,400"
2018-10-25,,"2,400","2,390","2,460"
2018-10-26,,"2,460","2,480","2,440"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"2,440","2,540","2,530"
2018-10-30,,"2,530","2,520","2,520"
2018-10-31,,"2,450","2,520","2,520"
2018-11-01,,"2,450","2,500","2,500"
2018-11-02,,"2,500","2,540","2,560"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"2,560","2,520","2,560"
2018-11-06,,"2,560","2,500","2,500"
2018-11-07,,"2,500","2,550","2,550"
2018-11-08,,"2,550","2,560","2,560"
2018-11-09,,"2,560","2,490","2,570"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"2,570","2,500","2,560"
2018-11-13,,"2,560","2,490","2,490"
2018-11-14,,"2,490","2,560","2,560"
2018-11-15,,"2,560","2,560","2,560"
2018-11-16,,"2,560","2,490","2,560"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"2,560",,
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"2,490","2,490","2,500"
2018-11-23,,"2,500","2,520","2,500"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"2,500","2,500","2,560"
2018-11-27,,"2,560","2,530","2,580"
2018-11-28,,"2,580","2,580","2,510"
2018-11-29,,"2,510","2,550","2,500"
2018-11-30,,"2,500","2,550","2,480"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"2,480","2,550","2,500"
2018-12-04,,"2,500","2,500","2,500"
2018-12-05,,"2,500","2,500","2,500"
2018-12-06,,"2,500","2,500","2,500"
2018-12-07,,"2,500","2,450","2,450"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"2,450","2,490","2,430"
2018-12-11,,"2,430","2,420","2,490"
2018-12-12,,"2,490","2,480","2,480"
2018-12-13,,"2,480","2,490","2,490"
2018-12-14,,"2,490","2,490","2,490"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"2,490","2,490","2,550"
2018-12-18,,,,
2018-12-19,,"2,480","2,550","2,550"
2018-12-20,,"2,550","2,550","2,560"
2018-12-21,,"2,560","2,560","2,560"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"2,560",,
2018-12-25,,"2,560",,
2018-12-26,,"2,560","2,490","2,420"
2018-12-27,,"2,420","2,360","2,480"
2018-12-28,,"2,480","2,480","2,550"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"2,550","2,550","2,550"
2019-01-01,,,,
2019-01-02,,"2,550","2,520","2,570"
2019-01-03,,"2,570","2,570","2,560"
2019-01-04,,"2,560","2,560","2,710"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"2,710","2,740","2,860"
2019-01-08,,"2,860","2,980","2,900"
2019-01-09,,,,
2019-01-10,,"2,880","2,950","2,950"
2019-01-11,,"2,950","2,950","2,950"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"2,950","2,930","2,930"
2019-01-16,,"2,930",,
2019-01-17,,"2,930","2,800","2,840"
2019-01-18,,"2,840","2,780","2,840"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"2,840","2,840","2,760"
2019-01-22,,"2,760","2,750","2,750"
2019-01-23,,"2,750","2,670","2,670"
2019-01-24,,"2,670","2,660","2,750"
2019-01-25,,"2,750","2,800","2,730"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"2,730","2,610","2,730"
2019-01-29,,"2,730","2,650","2,650"
2019-01-30,,"2,650","2,580","2,650"
2019-01-31,,"2,650","2,580","2,510"
2019-02-01,,"2,510","2,620","2,620"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"2,620","2,650","2,680"
2019-02-05,,"2,680","2,680","2,700"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"2,700","2,620","2,690"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"2,650","2,690","2,610"
2019-02-14,,"2,610","2,680","2,600"
2019-02-15,,"2,600","2,690","2,600"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"2,600","2,690","2,690"
2019-02-19,,"2,690","2,730","2,730"
2019-02-20,,"2,730","2,650","2,650"
2019-02-21,,"2,650","2,580","2,640"
2019-02-22,,,,
