,TPR,ref,ouverture,cloture
2018-11-16,,"4,860","4,820","4,760"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"4,760","4,700","4,700"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"4,640","4,600","4,600"
2018-11-23,,"4,600","4,640","4,750"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"4,750","4,750","4,740"
2018-11-27,,"4,740","4,740","4,740"
2018-11-28,,"4,740","4,740","4,620"
2018-11-29,,"4,620","4,700","4,700"
2018-11-30,,"4,700","4,700","4,700"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"4,700","4,690","4,670"
2018-12-04,,"4,670","4,670","4,600"
2018-12-05,,"4,600","4,680","4,700"
2018-12-06,,"4,700","4,700","4,700"
2018-12-07,,"4,700","4,700","4,700"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"4,700","4,700","4,650"
2018-12-11,,"4,650","4,600","4,600"
2018-12-12,,"4,600","4,600","4,580"
2018-12-13,,"4,580","4,570","4,570"
2018-12-14,,"4,570","4,600","4,600"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"4,600","4,600","4,580"
2018-12-18,,,,
2018-12-19,,"4,530","4,550","4,560"
2018-12-20,,"4,560","4,550","4,500"
2018-12-21,,"4,500","4,550","4,600"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"4,600","4,580","4,610"
2018-12-25,,"4,610","4,600","4,600"
2018-12-26,,"4,600","4,510","4,600"
2018-12-27,,"4,600","4,600","4,690"
2018-12-28,,"4,690","4,660","4,770"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"4,770","4,770","4,770"
2019-01-01,,,,
2019-01-02,,"4,770","4,860","4,790"
2019-01-03,,"4,790","4,710","4,690"
2019-01-04,,"4,690","4,680","4,680"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"4,680","4,690","4,710"
2019-01-08,,"4,710","4,710","4,710"
2019-01-09,,,,
2019-01-10,,"4,750","4,750","4,750"
2019-01-11,,"4,750","4,750","4,700"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"4,700","4,720","4,720"
2019-01-16,,"4,720","4,710","4,710"
2019-01-17,,"4,710","4,720","4,860"
2019-01-18,,"4,860","4,880","5,020"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"5,020","5,050","5,320"
2019-01-22,,"5,320","5,550","5,550"
2019-01-23,,"5,550","5,590","5,680"
2019-01-24,,"5,680","5,690","5,550"
2019-01-25,,"5,550","5,600","5,550"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"5,550","5,550","5,560"
2019-01-29,,"5,560","5,540","5,500"
2019-01-30,,"5,500","5,410","5,400"
2019-01-31,,"5,400","5,390","5,300"
2019-02-01,,"5,300","5,290","5,280"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"5,280","5,240","5,190"
2019-02-05,,"5,190","5,190","5,150"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"5,150","5,130","5,120"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"5,200","5,180","5,150"
2019-02-14,,"5,150","5,150","5,290"
2019-02-15,,"5,290","5,290","5,500"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"5,500","5,500","5,350"
2019-02-19,,"5,350","5,400","5,450"
2019-02-20,,"5,450","5,440","5,580"
2019-02-21,,"5,580","5,580","5,490"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"5,450","5,500","5,450"
2019-02-26,,"5,450","5,460","5,410"
2019-02-27,,"5,410","5,450","5,380"
2019-02-28,,"5,380","5,360","5,320"
2019-03-01,,"5,320","5,300","5,250"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"5,250","5,240","5,110"
2019-03-05,,"5,110","5,000","5,020"
2019-03-06,,"5,020","5,100","5,150"
2019-03-07,,"5,150","5,060","5,000"
2019-03-08,,"5,000","5,040","4,970"
2019-03-09,,,,
2019-03-10,,,,
