,Delice,ref,ouverture,cloture
2019-03-11,,"11,000",,
2019-03-12,,"11,000",,
2019-03-13,,"11,000",,
2019-03-14,,"11,000","11,200","11,200"
2019-03-15,,"11,200","11,200","11,200"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"11,200","11,000","11,000"
2019-03-19,,"11,000","11,200","11,330"
2019-03-20,,,,
2019-03-21,,"11,330","11,600","11,600"
2019-03-22,,"11,600","11,600","11,750"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"11,750","11,820","12,100"
2019-03-26,,"12,100","12,600","12,770"
2019-03-27,,"12,770","12,790","12,490"
2019-03-28,,,,
2019-03-29,,"12,490",,
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"12,490","12,410","12,410"
2019-04-02,,"12,410","12,050","12,040"
2019-04-03,,"12,040","12,400","12,400"
2019-04-04,,"12,400","12,030","12,410"
2019-04-05,,"12,410","12,350","12,490"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"12,490","12,270","12,490"
2019-04-09,,,,
2019-04-10,,"12,490","12,480","12,200"
2019-04-11,,"12,200","12,000","12,000"
2019-04-12,,"12,000","12,180","12,400"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"12,400","12,400","12,200"
2019-04-16,,"12,200","12,300","12,000"
2019-04-17,,"12,000","12,000","11,900"
2019-04-18,,"11,900","12,250","12,250"
2019-04-19,,"12,250","11,900","11,900"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"11,900","11,860","12,000"
2019-04-23,,"12,000","12,000","11,900"
2019-04-24,,"11,900","11,900","11,900"
2019-04-25,,"11,900","11,800","11,800"
2019-04-26,,"11,800","11,800","11,500"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"11,500","11,510","11,200"
2019-04-30,,"11,200","11,420","11,160"
2019-05-01,,,,
2019-05-02,,"11,160","11,000","11,000"
2019-05-03,,"11,000","11,000","11,000"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"11,000","11,250","11,010"
2019-05-07,,"11,010","11,400","11,200"
2019-05-08,,"11,200","11,400","11,250"
2019-05-09,,"11,250","11,400","11,400"
2019-05-10,,"11,400","11,100","11,350"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"11,350","11,010","11,340"
2019-05-14,,"11,340","11,020","11,290"
2019-05-15,,"11,290","11,350","11,400"
2019-05-16,,"11,400","11,700","11,700"
2019-05-17,,"11,700","11,710","11,800"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"11,800","11,800","11,800"
2019-05-21,,"11,800","12,000","12,000"
2019-05-22,,"12,000","11,800","11,800"
2019-05-23,,"11,800","11,500","11,790"
2019-05-24,,"11,790","11,610","11,780"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"11,780","11,800","11,600"
2019-05-28,,"11,600","11,900","11,500"
2019-05-29,,"11,500","11,850","11,850"
2019-05-30,,"11,850","11,990","11,990"
2019-05-31,,"11,990","12,100","11,800"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"11,800",,
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"11,800",,
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"11,800",,
2019-06-11,,,,
2019-06-12,,"11,780","11,750","11,750"
2019-06-13,,"11,750","11,800","11,450"
2019-06-14,,"11,450","11,780","11,690"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"11,690","11,700","11,700"
2019-06-18,,"11,700","11,800","11,500"
2019-06-19,,"11,500","11,800","11,600"
2019-06-20,,"11,600","11,590","11,400"
2019-06-21,,"11,400","11,800","11,800"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"11,800","11,740","11,450"
2019-06-25,,"11,450","11,680","11,500"
2019-06-26,,"11,500","11,510","11,500"
2019-06-27,,"11,500","11,750","11,450"
2019-06-28,,"11,450","11,800","11,730"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"11,730","12,000","12,000"
2019-07-02,,"12,000","11,900","11,900"
2019-07-03,,"11,900","11,900","11,550"
2019-07-04,,"11,550","11,990","11,990"
2019-07-05,,"11,990","11,960","11,950"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"11,950","11,960","11,960"
2019-07-09,,"11,960","11,960","11,960"
2019-07-10,,"11,960","11,950","11,940"
2019-07-11,,"11,530","11,210","11,200"
2019-07-12,,"11,200","11,650","11,200"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"11,200","11,010","11,000"
2019-07-16,,"11,000",,
2019-07-17,,"11,000","11,330","11,330"
2019-07-18,,"11,330","11,000","11,000"
2019-07-19,,"11,000","11,010","11,000"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"11,000","11,280","11,280"
2019-07-23,,"11,280","11,190","11,190"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"11,000","11,200","11,200"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"11,200","11,200","11,000"
2019-07-31,,"11,000","11,000","10,880"
2019-08-01,,"10,880","10,880","11,000"
2019-08-02,,"11,000","11,200","11,000"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"11,000","11,200","11,000"
2019-08-06,,"11,000","10,910","10,910"
2019-08-07,,"10,910","11,000","10,700"
2019-08-08,,"10,700","10,800","10,700"
2019-08-09,,"10,700","10,700","11,000"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"11,000","11,020","11,020"
2019-08-15,,"11,020","11,000","11,000"
2019-08-16,,"11,000","11,000","11,000"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"11,000","11,150","10,980"
2019-08-20,,"10,980","10,900","10,990"
2019-08-21,,"10,990","11,290","10,990"
2019-08-22,,"10,960","10,640","10,950"
2019-08-23,,"10,950","11,240","11,240"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"11,240","10,910","10,910"
2019-08-27,,"10,910","10,950","10,700"
2019-08-28,,"10,700","10,700","10,900"
2019-08-29,,"10,900","10,950","10,950"
2019-08-30,,"10,950","11,000","11,000"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"11,000","10,750","11,000"
2019-09-03,,"11,000",,
2019-09-04,,"11,000","11,000","10,750"
2019-09-05,,"10,750","10,680","11,000"
2019-09-06,,"11,000","11,000","11,290"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"10,950","10,990","10,850"
2019-09-12,,"10,850",,
2019-09-13,,"10,850","10,840","10,560"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"10,560","10,500","10,780"
2019-09-17,,"10,780","10,840","10,500"
2019-09-18,,"10,500","10,800","10,300"
2019-09-19,,"10,300","10,580","10,490"
2019-09-20,,"10,490",,
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"10,490","10,200","10,390"
2019-09-24,,"10,390","10,200","10,190"
2019-09-25,,"10,190","10,490","10,190"
2019-09-26,,"10,190","10,490","10,480"
2019-09-27,,"10,480","10,500","10,710"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"10,710","10,980","10,970"
2019-10-01,,"10,970","11,290","11,290"
2019-10-02,,"11,290","10,800","10,790"
2019-10-03,,"10,790","10,790","10,310"
2019-10-04,,"10,310","10,310","10,170"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"10,170","10,610","10,160"
2019-10-08,,"10,160","10,350","10,160"
2019-10-09,,"10,160","10,150","10,120"
2019-10-10,,"10,120","10,200","10,160"
2019-10-11,,"10,160","10,200","10,200"
2019-10-12,,,,
2019-10-13,,,,
