,SOTETEL,ref,ouverture,cloture
2019-08-18,,,,
2019-08-19,,"6,150","5,970","5,970"
2019-08-20,,"5,870","5,850","5,950"
2019-08-21,,"5,950","5,930","6,100"
2019-08-22,,"6,100","6,280","6,100"
2019-08-23,,"6,100","5,920","6,010"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"6,090","6,190","6,180"
2019-08-27,,"6,180","5,920","6,100"
2019-08-28,,"6,100","5,940","5,920"
2019-08-29,,"5,920","6,050","5,900"
2019-08-30,,"5,870","6,040","5,860"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"5,860","5,860","5,800"
2019-09-03,,"5,800","5,850","5,700"
2019-09-04,,"5,700","5,530","5,590"
2019-09-05,,"5,590","5,650","5,640"
2019-09-06,,"5,640","5,500","5,480"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"5,550","5,700","5,640"
2019-09-12,,"5,640","5,780","5,610"
2019-09-13,,"5,610","5,470","5,590"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"5,590","5,430","5,480"
2019-09-17,,"5,480","5,620","5,540"
2019-09-18,,"5,540","5,410","5,530"
2019-09-19,,"5,530","5,500","5,480"
2019-09-20,,"5,480","5,510","5,350"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"5,350","5,490","5,400"
2019-09-24,,"5,400","5,250","5,390"
2019-09-25,,"5,390","5,380","5,250"
2019-09-26,,"5,250","5,380","5,370"
2019-09-27,,"5,370","5,390","5,350"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"5,350","5,290","5,200"
2019-10-01,,"5,200","5,290","5,180"
2019-10-02,,"5,180","5,330","5,170"
2019-10-03,,"5,170","5,090","4,980"
2019-10-04,,"4,980","4,800","4,800"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"4,800","4,900","4,800"
2019-10-08,,"4,800","4,870","4,730"
2019-10-09,,"4,730","4,590","4,600"
2019-10-10,,"4,590","4,460","4,590"
2019-10-11,,"4,590","4,600","4,700"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"4,700","4,840","4,910"
2019-10-15,,,,
2019-10-16,,"4,910","5,130","5,200"
2019-10-17,,"5,200","5,350","5,510"
2019-10-18,,"5,510","5,670","5,840"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"5,840","5,840","5,750"
2019-10-22,,"5,750","5,800","5,750"
2019-10-23,,"5,750","5,900","5,750"
2019-10-24,,"5,750","5,750","5,580"
2019-10-25,,"5,580","5,740","5,400"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"5,400","5,400","5,160"
2019-10-29,,"5,160","5,280","5,050"
2019-10-30,,"5,050","5,160","5,010"
2019-10-31,,"5,010","4,900","5,010"
2019-11-01,,"5,010","5,110","4,960"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"4,960","5,100","4,950"
2019-11-05,,"4,950","4,810","4,730"
2019-11-06,,"4,730","4,870","4,660"
2019-11-07,,"4,660","4,690","4,830"
